V1, Vout
0.0,0.001
0.0295,0.001
0.0595,0.001
0.089,0.001
0.119,0.001
0.1485,0.001
0.178,0.001
0.208,0.001
0.2375,0.001
0.2675,0.001
0.297,0.001
0.3265,0.001
0.3565,0.001
0.386,0.001
0.416,0.001
0.4455,0.001
0.475,0.001
0.505,0.001
0.5345,0.001
0.564,0.001
0.594,0.001
0.6235,0.001
0.6535,0.001
0.683,0.001
0.7125,0.001
0.7425,0.001
0.772,0.001
0.802,0.001
0.8315,0.002
0.861,0.001
0.891,0.001
0.9205,0.001
0.9505,0.001
0.98,0.001
1.0095,0.001
1.0395,0.001
1.069,0.001
1.099,0.001
1.1285,0.002
1.158,0.001
1.188,0.001
1.2175,0.002
1.2475,0.001
1.277,0.001
1.3065,0.001
1.3365,0.001
1.366,0.001
1.396,0.001
1.4255,0.002
1.455,0.002
1.485,0.002
1.5145,0.002
1.544,0.001
1.574,0.002
1.6035,0.001
1.6335,0.001
1.663,0.001
1.6925,0.002
1.7225,0.002
1.752,0.001
1.782,0.002
1.8115,0.002
1.841,0.001
1.871,0.002
1.9005,0.001
1.9305,0.001
1.96,0.002
1.9895,0.002
2.019,0.002
2.049,0.002
2.079,0.002
2.108,0.002
2.138,0.002
2.168,0.002
2.198,0.002
2.227,0.001
2.257,0.002
2.287,0.001
2.316,0.002
2.346,0.002
2.376,0.001
2.405,0.001
2.435,0.001
2.465,0.001
2.495,0.001
2.524,0.001
2.554,0.002
2.584,0.001
2.613,0.002
2.643,0.002
2.673,0.002
2.702,0.002
2.732,0.002
2.762,0.002
2.792,0.002
2.821,0.003
2.851,0.005
2.881,0.009
2.91,0.016
2.94,0.028
2.95,0.034
2.951,0.035
2.952,0.036
2.953,0.036
2.954,0.037
2.955,0.038
2.956,0.039
2.957,0.04
2.958,0.04
2.959,0.041
2.96,0.042
2.961,0.043
2.962,0.044
2.963,0.045
2.964,0.046
2.965,0.047
2.966,0.049
2.967,0.049
2.968,0.051
2.969,0.052
2.97,0.053
2.971,0.055
2.972,0.056
2.973,0.058
2.974,0.06
2.975,0.061
2.976,0.063
2.977,0.065
2.978,0.067
2.979,0.069
2.98,0.071
2.981,0.073
2.982,0.076
2.983,0.079
2.984,0.082
2.985,0.085
2.986,0.089
2.987,0.093
2.988,0.099
2.989,0.104
2.99,0.112
2.991,0.122
2.992,0.137
2.993,0.162
2.994,0.237
2.995,0.423
2.996,0.651
2.997,0.918
2.998,1.21
2.999,1.502
3.001,2.365
3.002,2.7
3.003,2.672
3.004,2.956
3.005,3.206
3.006,3.46
3.007,3.694
3.008,3.918
3.009,4.305
3.01,4.29
3.011,4.435
3.012,4.57
3.013,4.675
3.014,4.755
3.015,4.805
3.016,4.835
3.017,4.855
3.018,4.87
3.019,4.88
3.02,4.89
3.021,4.895
3.022,4.9
3.023,4.905
3.024,4.91
3.025,4.915
3.026,4.92
3.027,4.925
3.028,4.93
3.029,4.93
3.03,4.935
3.031,4.935
3.032,4.94
3.033,4.945
3.034,4.945
3.035,4.945
3.036,4.95
3.037,4.95
3.038,4.955
3.039,4.955
3.04,4.955
3.041,4.96
3.042,4.96
3.043,4.96
3.044,4.965
3.045,4.965
3.046,4.965
3.047,4.97
3.048,4.97
3.049,4.97
3.05,4.975
3.06,4.985
3.088,5.005
3.116,5.015
3.144,5.025
3.172,5.03
3.201,5.03
3.229,5.03
3.257,5.03
3.285,5.03
3.313,5.03
3.341,5.03
3.369,5.03
3.397,5.03
3.426,5.03
3.454,5.03
3.482,5.03
3.51,5.03
3.538,5.03
3.566,5.03
3.594,5.03
3.622,5.03
3.65,5.03
3.679,5.03
3.707,5.03
3.735,5.03
3.763,5.03
3.791,5.03
3.819,5.03
3.847,5.03
3.875,5.03
3.903,5.03
3.932,5.03
3.96,5.03
3.988,5.03
4.015,5.03
4.045,5.03
4.0725,5.03
4.1,5.03
4.1275,5.03
4.1575,5.03
4.185,5.03
4.2125,5.03
4.24,5.03
4.27,5.03
4.2975,5.03
4.325,5.03
4.3525,5.03
4.3825,5.03
4.41,5.03
4.4375,5.03
4.465,5.03
4.495,5.03
4.5225,5.03
4.55,5.03
4.5775,5.03
4.6075,5.03
4.635,5.03
4.6625,5.03
4.69,5.03
4.72,5.03
4.7475,5.03
4.775,5.03
4.8025,5.03
4.8325,5.03
4.86,5.03
4.8875,5.03
4.915,5.03
4.945,5.035
4.9725,5.03
5.0,5.035
