V1, Vout
0.0,0.001
0.04,0.001
0.0795,0.002
0.1195,0.001
0.159,0.002
0.199,0.002
0.239,0.001
0.2785,0.001
0.3185,0.001
0.358,0.002
0.398,0.001
0.438,0.002
0.4775,0.002
0.5175,0.002
0.557,0.002
0.597,0.002
0.637,0.002
0.6765,0.002
0.7165,0.002
0.756,0.002
0.796,0.002
0.836,0.002
0.8755,0.002
0.9155,0.002
0.955,0.002
0.995,0.002
1.0345,0.002
1.0745,0.002
1.1145,0.001
1.154,0.002
1.194,0.002
1.2335,0.002
1.2735,0.002
1.3135,0.002
1.353,0.002
1.393,0.002
1.4325,0.002
1.4725,0.002
1.5125,0.001
1.552,0.002
1.592,0.002
1.6315,0.002
1.6715,0.002
1.7115,0.002
1.751,0.002
1.791,0.001
1.8305,0.001
1.8705,0.002
1.9105,0.001
1.95,0.002
1.99,0.001
2.03,0.002
2.069,0.001
2.109,0.001
2.149,0.002
2.189,0.001
2.229,0.002
2.268,0.001
2.308,0.001
2.348,0.002
2.388,0.002
2.428,0.001
2.467,0.002
2.507,0.001
2.547,0.002
2.587,0.001
2.627,0.002
2.666,0.001
2.706,0.002
2.746,0.002
2.786,0.002
2.826,0.001
2.865,0.002
2.905,0.001
2.945,0.002
2.985,0.002
3.025,0.002
3.064,0.001
3.104,0.002
3.144,0.002
3.184,0.002
3.224,0.001
3.263,0.002
3.303,0.001
3.343,0.002
3.383,0.002
3.423,0.002
3.462,0.002
3.502,0.002
3.542,0.002
3.582,0.002
3.622,0.002
3.661,0.002
3.701,0.002
3.741,0.002
3.781,0.002
3.821,0.005
3.86,0.008
3.9,0.018
3.94,0.038
3.95,0.047
3.951,0.048
3.952,0.049
3.953,0.051
3.954,0.052
3.955,0.053
3.956,0.054
3.957,0.056
3.958,0.057
3.959,0.059
3.96,0.061
3.961,0.062
3.962,0.064
3.963,0.066
3.964,0.068
3.965,0.07
3.966,0.072
3.967,0.075
3.968,0.078
3.969,0.081
3.97,0.084
3.971,0.088
3.972,0.092
3.973,0.097
3.974,0.103
3.975,0.109
3.976,0.118
3.977,0.129
3.978,0.148
3.979,0.189
3.98,0.317
3.981,0.509
3.982,0.77
3.983,1.035
3.984,1.347
3.985,1.64
3.986,1.936
3.987,2.485
3.988,2.8
3.989,3.075
3.99,3.08
3.991,3.31
3.992,3.57
3.993,3.774
3.994,3.98
3.995,4.17
3.996,4.345
3.997,4.485
3.998,4.61
3.999,4.705
4.0,4.9
4.0025,4.915
4.0025,4.92
4.0025,4.92
4.005,4.93
4.005,4.93
4.0075,4.935
4.0075,4.935
4.0075,4.935
4.01,4.945
4.01,4.945
4.0125,4.95
4.0125,4.95
4.0125,4.95
4.015,4.955
4.015,4.955
4.0175,4.96
4.0175,4.96
4.0175,4.96
4.02,4.96
4.02,4.96
4.0225,4.965
4.0225,4.965
4.0225,4.965
4.025,4.97
4.025,4.97
4.0275,4.975
4.0275,4.975
4.03,4.975
4.03,4.975
4.03,4.975
4.0325,4.98
4.0325,4.98
4.035,4.985
4.035,4.985
4.035,4.985
4.0375,4.985
4.0375,4.985
4.04,4.99
4.04,4.99
4.04,4.99
4.0425,4.99
4.0425,4.99
4.045,4.995
4.045,4.995
4.045,4.995
4.0475,4.995
4.0475,4.995
4.05,4.995
4.05,4.995
4.06,5.005
4.085,5.015
4.1075,5.025
4.1325,5.03
4.1575,5.03
4.18,5.03
4.205,5.03
4.2275,5.03
4.2525,5.03
4.2775,5.03
4.3,5.035
4.325,5.03
4.35,5.03
4.3725,5.03
4.3975,5.03
4.4225,5.035
4.445,5.03
4.47,5.03
4.495,5.03
4.5175,5.03
4.5425,5.03
4.565,5.03
4.59,5.03
4.615,5.03
4.6375,5.03
4.6625,5.03
4.6875,5.035
4.71,5.03
4.735,5.035
4.76,5.03
4.7825,5.035
4.8075,5.035
4.8325,5.03
4.855,5.035
4.88,5.03
4.9025,5.035
4.9275,5.035
4.9525,5.035
4.975,5.03
5.0,5.03
