"Ix","Iz"
-0.00164467617799,-0.0001603
-0.0017629141181,-0.0001652
-0.00188965233969,-0.00017
-0.00202550193923,-0.0001761
-0.00217111794569,-0.0001811
-0.00232720247896,-0.0001861
-0.00249450813523,-0.0001912
-0.00267384161584,-0.0001962
-0.00286606761695,-0.000203
-0.00307211299886,-0.000207
-0.0032929712551,-0.000212
-0.00352970730273,-0.000217
-0.00378346261713,-0.000222
-0.00405546073584,-0.000227
-0.00434701315813,-0.000231
-0.00465952566866,-0.000236
-0.00499450511586,-0.000239
-0.00535356667741,-0.000243
-0.0057384416483,-0.000246
-0.00615098578858,-0.000248
-0.00659318827133,-0.000249
-0.00706718127393,-0.000249
-0.00757525025877,-0.000247
-0.00811984499318,-0.000244
-0.00870359136149,-0.000239
-0.00932930402628,-0.000231
-0.01,-0.000219
