"Vin","Iin","V"
0.0,-4e-10,-0.001
0.05,8.6e-09,0.049
0.1,1.16e-08,0.099
0.15,1.4e-08,0.149
0.2,1.62e-08,0.199
0.25,1.99e-08,0.249
0.3,2.15e-08,0.299
0.35,3.03e-08,0.349
0.4,4.6e-08,0.4
0.45,2.25e-07,0.449
0.5,1.432e-06,0.499
0.55,7.65e-06,0.543
0.6,2.59e-05,0.573
0.65,5.51e-05,0.593
0.7,8.97e-05,0.606
0.75,0.0001285,0.616
0.8,0.0001685,0.623
0.85,0.000212,0.627
0.9,0.000255,0.632
0.95,0.000296,0.636
1.0,0.00034,0.64
1.05,0.000385,0.643
1.1,0.000429,0.646
1.15,0.000474,0.649
1.2,0.000518,0.652
1.25,0.000563,0.654
1.3,0.000607,0.656
1.35,0.000652,0.658
1.4,0.000697,0.659
1.45,0.000742,0.661
1.5,0.000788,0.663
1.55,0.000834,0.664
1.6,0.000879,0.666
1.65,0.000924,0.667
1.7,0.000969,0.668
1.75,0.001014,0.669
1.8,0.001059,0.671
1.85,0.001104,0.672
1.9,0.00115,0.673
1.95,0.001195,0.674
2.0,0.00124,0.675
2.05,0.001284,0.676
2.1,0.001329,0.677
2.15,0.001375,0.678
2.2,0.001421,0.679
2.25,0.001467,0.68
2.3,0.001513,0.68
2.35,0.001559,0.681
2.4,0.001604,0.682
2.45,0.001649,0.683
2.5,0.001695,0.683
2.55,0.001741,0.684
2.6,0.001786,0.685
2.65,0.001832,0.686
2.7,0.001877,0.686
2.75,0.001922,0.687
2.8,0.001968,0.688
2.85,0.00205,0.687
2.9,0.0021,0.688
2.95,0.00214,0.688
3.0,0.00219,0.689
3.05,0.00223,0.689
3.1,0.00228,0.69
3.15,0.00233,0.691
3.2,0.00237,0.691
3.25,0.00242,0.691
3.3,0.00246,0.692
3.35,0.00251,0.692
3.4,0.00256,0.693
3.45,0.0026,0.693
3.5,0.00265,0.694
3.55,0.00269,0.694
3.6,0.00274,0.695
3.65,0.00278,0.695
3.7,0.00283,0.696
3.75,0.00287,0.696
3.8,0.00292,0.697
3.85,0.00297,0.697
3.9,0.00301,0.698
3.95,0.00306,0.698
4.0,0.0031,0.698
4.05,0.00316,0.699
4.1,0.00321,0.699
4.15,0.00325,0.7
4.2,0.0033,0.7
4.25,0.00334,0.7
4.3,0.00339,0.701
4.35,0.00344,0.701
4.4,0.00348,0.701
4.45,0.00353,0.702
4.5,0.00358,0.702
4.55,0.00362,0.703
4.6,0.00367,0.703
4.65,0.00371,0.703
4.7,0.00376,0.704
4.75,0.0038,0.704
4.8,0.00385,0.704
4.85,0.0039,0.705
4.9,0.00395,0.705
4.95,0.00399,0.705
5.0,0.00404,0.706
