vx	V(p004)	V(n001)
Step Information: Vy=0  (Run: 1/6)
5.000000000000000e+000	5.000000e+000	3.999965e+000
Step Information: Vy=2  (Run: 3/6)
0.000000000000000e+000	5.000000e+000	5.819425e+000
1.000000000000000e-001	5.000000e+000	5.733914e+000
2.000000000000000e-001	5.000000e+000	5.649338e+000
3.000000000000000e-001	5.000000e+000	5.565029e+000
4.000000000000000e-001	5.000000e+000	5.481240e+000
5.000000000000000e-001	5.000000e+000	5.397995e+000
6.000000000000000e-001	5.000000e+000	5.315319e+000
7.000000000000000e-001	5.000000e+000	5.233240e+000
7.999999999999999e-001	5.000000e+000	5.151785e+000
8.999999999999999e-001	5.000000e+000	5.070984e+000
9.999999999999999e-001	5.000000e+000	4.990870e+000
1.100000000000000e+000	5.000000e+000	4.911475e+000
1.200000000000000e+000	5.000000e+000	4.832835e+000
1.300000000000000e+000	5.000000e+000	4.754987e+000
1.400000000000000e+000	5.000000e+000	4.677971e+000
1.500000000000000e+000	5.000000e+000	4.601828e+000
1.600000000000000e+000	5.000000e+000	4.526602e+000
1.700000000000000e+000	5.000000e+000	4.452340e+000
1.800000000000001e+000	5.000000e+000	4.379090e+000
1.900000000000001e+000	5.000000e+000	4.306905e+000
2.000000000000000e+000	5.000000e+000	4.235838e+000
2.100000000000001e+000	5.000000e+000	4.165949e+000
2.200000000000001e+000	5.000000e+000	4.097296e+000
2.300000000000001e+000	5.000000e+000	4.029943e+000
2.400000000000001e+000	5.000000e+000	3.963959e+000
2.500000000000001e+000	5.000000e+000	3.899410e+000
2.600000000000001e+000	5.000000e+000	3.836373e+000
2.700000000000001e+000	5.000000e+000	3.774921e+000
2.800000000000001e+000	5.000000e+000	3.715137e+000
2.900000000000001e+000	5.000000e+000	3.657101e+000
3.000000000000001e+000	5.000000e+000	3.600899e+000
3.100000000000001e+000	5.000000e+000	3.546620e+000
3.200000000000002e+000	5.000000e+000	3.494355e+000
3.300000000000002e+000	5.000000e+000	3.444196e+000
3.400000000000002e+000	5.000000e+000	3.396239e+000
3.500000000000002e+000	5.000000e+000	3.350577e+000
3.600000000000002e+000	5.000000e+000	3.307309e+000
3.700000000000002e+000	5.000000e+000	3.266528e+000
3.800000000000002e+000	5.000000e+000	3.228331e+000
3.900000000000002e+000	5.000000e+000	3.192810e+000
4.000000000000002e+000	5.000000e+000	3.160054e+000
4.100000000000001e+000	5.000000e+000	3.130149e+000
4.200000000000001e+000	5.000000e+000	3.103175e+000
4.300000000000001e+000	5.000000e+000	3.079206e+000
4.400000000000000e+000	5.000000e+000	3.058307e+000
4.500000000000000e+000	5.000000e+000	3.040534e+000
4.600000000000000e+000	5.000000e+000	3.025934e+000
4.699999999999999e+000	5.000000e+000	3.014540e+000
4.799999999999999e+000	5.000000e+000	3.006478e+000
4.899999999999999e+000	5.000000e+000	3.001596e+000
5.000000000000000e+000	5.000000e+000	2.999974e+000
Step Information: Vy=3  (Run: 4/6)
0.000000000000000e+000	5.000000e+000	5.377628e+000
1.000000000000000e-001	5.000000e+000	5.284904e+000
2.000000000000000e-001	5.000000e+000	5.192714e+000
3.000000000000000e-001	5.000000e+000	5.100680e+000
4.000000000000000e-001	5.000000e+000	5.008949e+000
5.000000000000000e-001	5.000000e+000	4.917537e+000
6.000000000000000e-001	5.000000e+000	4.826462e+000
7.000000000000000e-001	5.000000e+000	4.735744e+000
7.999999999999999e-001	5.000000e+000	4.645404e+000
8.999999999999999e-001	5.000000e+000	4.555464e+000
9.999999999999999e-001	5.000000e+000	4.465948e+000
1.100000000000000e+000	5.000000e+000	4.376881e+000
1.200000000000000e+000	5.000000e+000	4.288291e+000
1.300000000000000e+000	5.000000e+000	4.200209e+000
1.400000000000000e+000	5.000000e+000	4.112666e+000
1.500000000000000e+000	5.000000e+000	4.025698e+000
1.600000000000000e+000	5.000000e+000	3.939343e+000
1.700000000000000e+000	5.000000e+000	3.853641e+000
1.800000000000001e+000	5.000000e+000	3.768636e+000
1.900000000000001e+000	5.000000e+000	3.684378e+000
2.000000000000000e+000	5.000000e+000	3.600917e+000
2.100000000000001e+000	5.000000e+000	3.518310e+000
2.200000000000001e+000	5.000000e+000	3.436619e+000
2.300000000000001e+000	5.000000e+000	3.355910e+000
2.400000000000001e+000	5.000000e+000	3.276255e+000
2.500000000000001e+000	5.000000e+000	3.197733e+000
2.600000000000001e+000	5.000000e+000	3.120430e+000
2.700000000000001e+000	5.000000e+000	3.044437e+000
2.800000000000001e+000	5.000000e+000	2.969856e+000
2.900000000000001e+000	5.000000e+000	2.896796e+000
3.000000000000001e+000	5.000000e+000	2.825374e+000
3.100000000000001e+000	5.000000e+000	2.755718e+000
3.200000000000002e+000	5.000000e+000	2.687966e+000
3.300000000000002e+000	5.000000e+000	2.622266e+000
3.400000000000002e+000	5.000000e+000	2.558778e+000
3.500000000000002e+000	5.000000e+000	2.497669e+000
3.600000000000002e+000	5.000000e+000	2.439122e+000
3.700000000000002e+000	5.000000e+000	2.383326e+000
3.800000000000002e+000	5.000000e+000	2.330480e+000
3.900000000000002e+000	5.000000e+000	2.280791e+000
4.000000000000002e+000	5.000000e+000	2.234472e+000
4.100000000000001e+000	5.000000e+000	2.191736e+000
4.200000000000001e+000	5.000000e+000	2.152800e+000
4.300000000000001e+000	5.000000e+000	2.117871e+000
4.400000000000000e+000	5.000000e+000	2.087149e+000
4.500000000000000e+000	5.000000e+000	2.060819e+000
4.600000000000000e+000	5.000000e+000	2.039041e+000
4.699999999999999e+000	5.000000e+000	2.021950e+000
4.799999999999999e+000	5.000000e+000	2.009812e+000
4.899999999999999e+000	5.000000e+000	2.002437e+000
5.000000000000000e+000	5.000000e+000	1.999982e+000
Step Information: Vy=4  (Run: 5/6)
0.000000000000000e+000	5.000000e+000	5.096127e+000
1.000000000000000e-001	5.000000e+000	4.998093e+000
2.000000000000000e-001	5.000000e+000	4.900218e+000
3.000000000000000e-001	5.000000e+000	4.802389e+000
4.000000000000000e-001	5.000000e+000	4.704652e+000
5.000000000000000e-001	5.000000e+000	4.607011e+000
6.000000000000000e-001	5.000000e+000	4.509474e+000
7.000000000000000e-001	5.000000e+000	4.412046e+000
7.999999999999999e-001	5.000000e+000	4.314736e+000
8.999999999999999e-001	5.000000e+000	4.217552e+000
9.999999999999999e-001	5.000000e+000	4.120502e+000
1.100000000000000e+000	5.000000e+000	4.023596e+000
1.200000000000000e+000	5.000000e+000	3.926844e+000
1.300000000000000e+000	5.000000e+000	3.830259e+000
1.400000000000000e+000	5.000000e+000	3.733854e+000
1.500000000000000e+000	5.000000e+000	3.637641e+000
1.600000000000000e+000	5.000000e+000	3.541638e+000
1.700000000000000e+000	5.000000e+000	3.445861e+000
1.800000000000001e+000	5.000000e+000	3.350330e+000
1.900000000000001e+000	5.000000e+000	3.255067e+000
2.000000000000000e+000	5.000000e+000	3.160095e+000
2.100000000000001e+000	5.000000e+000	3.065441e+000
2.200000000000001e+000	5.000000e+000	2.971137e+000
2.300000000000001e+000	5.000000e+000	2.877215e+000
2.400000000000001e+000	5.000000e+000	2.783715e+000
2.500000000000001e+000	5.000000e+000	2.690681e+000
2.600000000000001e+000	5.000000e+000	2.598162e+000
2.700000000000001e+000	5.000000e+000	2.506215e+000
2.800000000000001e+000	5.000000e+000	2.414904e+000
2.900000000000001e+000	5.000000e+000	2.324306e+000
3.000000000000001e+000	5.000000e+000	2.234506e+000
3.100000000000001e+000	5.000000e+000	2.145603e+000
3.200000000000002e+000	5.000000e+000	2.057714e+000
3.300000000000002e+000	5.000000e+000	1.970975e+000
3.400000000000002e+000	5.000000e+000	1.885542e+000
3.500000000000002e+000	5.000000e+000	1.801601e+000
