"Vb","Ib","Ie"
0.0,-8e-10,-5e-10
0.05,1.25e-08,-6e-10
0.1,1.28e-08,-5e-10
0.15,1.43e-08,-6e-10
0.2,1.63e-08,-9e-10
0.25,1.69e-08,-8e-10
0.3,1.99e-08,-2.3e-09
0.35,2.56e-08,-1.2e-08
0.4,4.29e-08,-7.74e-08
0.45,1.437e-07,-5.2e-07
0.5,8.3e-07,-3.23e-06
0.55,3.51e-06,-1.429e-05
0.6,8.64e-06,-3.75e-05
0.65,1.494e-05,-6.85e-05
0.7,2.21e-05,-0.0001049
0.75,2.88e-05,-0.0001427
0.8,3.56e-05,-0.0001827
0.85,4.26e-05,-0.00022
0.9,4.92e-05,-0.000261
0.95,5.58e-05,-0.000304
1.0,6.24e-05,-0.000347
1.05,6.9e-05,-0.000391
1.1,7.56e-05,-0.000435
1.15,8.2e-05,-0.000478
1.2,8.84e-05,-0.000522
1.25,9.48e-05,-0.000566
1.3,0.0001011,-0.000611
1.35,0.0001074,-0.000655
1.4,0.0001138,-0.0007
1.45,0.0001201,-0.000744
1.5,0.0001265,-0.000789
1.55,0.0001329,-0.000835
1.6,0.0001392,-0.000879
1.65,0.0001456,-0.000925
1.7,0.0001517,-0.000969
1.75,0.000158,-0.001014
1.8,0.0001643,-0.00106
1.85,0.0001705,-0.001104
1.9,0.0001767,-0.001149
1.95,0.0001829,-0.001194
2.0,0.0001889,-0.001238
2.05,0.0001951,-0.001282
2.1,0.000204,-0.00133
2.15,0.000209,-0.001376
2.2,0.000216,-0.001422
2.25,0.000222,-0.001468
2.3,0.000228,-0.001513
2.35,0.000234,-0.001558
2.4,0.00024,-0.001603
2.45,0.000246,-0.001648
2.5,0.000253,-0.001694
2.55,0.000259,-0.00174
2.6,0.000265,-0.001785
2.65,0.000271,-0.00183
2.7,0.000277,-0.001875
2.75,0.000283,-0.001921
2.8,0.000289,-0.001966
2.85,0.000297,-0.00199
2.9,0.000303,-0.00204
2.95,0.000309,-0.00208
3.0,0.000316,-0.00213
3.05,0.000322,-0.00217
3.1,0.000328,-0.00222
3.15,0.000334,-0.00227
3.2,0.00034,-0.00231
3.25,0.000347,-0.00236
3.3,0.000353,-0.0024
3.35,0.000359,-0.00245
3.4,0.000365,-0.00249
3.45,0.000371,-0.00254
3.5,0.000378,-0.00258
3.55,0.000384,-0.00263
3.6,0.00039,-0.00268
3.65,0.000396,-0.00272
3.7,0.000403,-0.00276
3.75,0.000409,-0.00281
3.8,0.000415,-0.00286
3.85,0.000422,-0.00291
3.9,0.000428,-0.00295
3.95,0.000434,-0.00299
4.0,0.00044,-0.00304
4.05,0.000447,-0.00309
4.1,0.000454,-0.00313
4.15,0.00046,-0.00318
4.2,0.000466,-0.00323
4.25,0.000473,-0.00327
4.3,0.000479,-0.00332
4.35,0.000486,-0.00336
4.4,0.000492,-0.00341
4.45,0.000499,-0.00345
4.5,0.000506,-0.0035
4.55,0.000512,-0.00354
4.6,0.000519,-0.00359
4.65,0.000526,-0.00364
4.7,0.000532,-0.00368
4.75,0.000539,-0.00373
4.8,0.000546,-0.00377
4.85,0.000553,-0.00382
4.9,0.00056,-0.00387
4.95,0.000567,-0.00392
5.0,0.000574,-0.00396
