NOTE! ONLY USE TRIALS 3 AND 4 FOR SOURCE
Sweeping current Ix for 3 values of Iy
Trial 1 for input current Ix
Ix, Iz
8.71e-07,-0.00286
1.0235e-06,-0.00296
1.2025e-06,-0.00308
1.4125e-06,-0.00322
1.6595e-06,-0.00339
1.95e-06,-0.00359
2.29e-06,-0.00382
2.69e-06,-0.00413
3.16e-06,-0.00451
3.715e-06,-0.00502
4.365e-06,-0.00559
5.13e-06,-0.00626
6.025e-06,-0.00707
7.08e-06,-0.00804
8.32e-06,-0.00921
9.77e-06,-0.01059
1.148e-05,-0.01226
1.349e-05,-0.01421
1.585e-05,-0.01651
1.862e-05,-0.01918
2.19e-05,-0.02036
2.57e-05,-0.02036
3.02e-05,-0.02036
3.55e-05,-0.02036
4.17e-05,-0.02036
4.9e-05,-0.02036
5.755e-05,-0.02036
6.76e-05,-0.02036
7.945e-05,-0.02036
9.335e-05,-0.02036
0.00010965,-0.02036
0.0001288,-0.02036
0.00015135,-0.02036
0.00017785,-0.02036
0.000209,-0.02036
0.0002455,-0.02036
0.0002885,-0.02036
0.000339,-0.02036
0.000398,-0.02036
0.0004675,-0.02036
0.0005495,-0.02036
0.0006455,-0.02036
0.0007585,-0.02036
0.0008915,-0.02036
0.001047,-0.02036
0.0012305,-0.02036
0.0014455,-0.02036
0.001698,-0.02036
0.0019955,-0.02036
0.002345,-0.02036
0.002755,-0.02036
0.003235,-0.02036
0.0038,-0.02036
0.004465,-0.02036
0.00525,-0.02036
0.006165,-0.02036
0.007245,-0.02036
0.00851,-0.02036
0.01,-0.02036
Sweeping current Iy for 3 values of Ix
Trial 1 for input current Iy
Iy, Iz
1e-09,-0.000241
1.15e-09,-0.00024
1.4e-09,-0.00024
1.6e-09,-0.00024
1.9e-09,-0.000241
2.25e-09,-0.000241
2.65e-09,-0.000241
3.1e-09,-0.000241
3.65e-09,-0.000241
4.25e-09,-0.000241
5e-09,-0.000242
5.9e-09,-0.000242
6.9e-09,-0.000243
8.15e-09,-0.000243
9.55e-09,-0.000244
1.12e-08,-0.000245
1.32e-08,-0.000246
1.55e-08,-0.000247
1.82e-08,-0.000249
2.14e-08,-0.000251
2.51e-08,-0.000252
2.95e-08,-0.000255
3.465e-08,-0.000258
4.075e-08,-0.000261
4.785e-08,-0.000265
5.625e-08,-0.00027
6.605e-08,-0.000276
7.76e-08,-0.000283
9.12e-08,-0.000292
1.0715e-07,-0.000302
1.259e-07,-0.000314
1.479e-07,-0.000329
1.738e-07,-0.000347
2.04e-07,-0.000366
2.4e-07,-0.000393
2.82e-07,-0.000426
3.31e-07,-0.000466
3.89e-07,-0.000515
4.57e-07,-0.000574
5.37e-07,-0.000648
6.31e-07,-0.000736
7.415e-07,-0.000841
8.71e-07,-0.000966
1.0235e-06,-0.001116
1.2025e-06,-0.001294
1.4125e-06,-0.001504
1.6595e-06,-0.001753
1.95e-06,-0.00202
2.29e-06,-0.00233
2.69e-06,-0.00273
3.16e-06,-0.00321
3.715e-06,-0.00377
4.365e-06,-0.00443
5.13e-06,-0.00521
6.025e-06,-0.00612
7.08e-06,-0.00717
8.32e-06,-0.0084
9.77e-06,-0.00984
