NOTE! USE TRIAL THREE FOR SURE,,Ix, Iz,,,Ix, Iz,,,Ix, Iz,,,Iy, Iz,,,Iy, Iz,,,
1.48E-07,-0.001607,2.40E-07,-0.001654,,,2.40E-07,-0.00139,,,2.40E-07,-0.000253,,,2.40E-07,-0.01187,,,2.40E-07,-0.01189,,,
1.74E-07,-0.001621,2.82E-07,-0.001678,,,2.82E-07,-0.00142,,,2.82E-07,-0.000295,,,2.82E-07,-0.01189,,,2.82E-07,-0.01191,,,
2.04E-07,-0.001635,3.31E-07,-0.001705,,,3.31E-07,-0.00145,,,3.31E-07,-0.000345,,,3.31E-07,-0.01191,,,3.31E-07,-0.01193,,,
2.40E-07,-0.001654,3.89E-07,-0.001737,,,3.89E-07,-0.00148,,,3.89E-07,-0.000404,,,3.89E-07,-0.01193,,,3.89E-07,-0.01196,,,
2.82E-07,-0.001678,4.57E-07,-0.001777,,,4.57E-07,-0.00152,,,4.57E-07,-0.000474,,,4.57E-07,-0.01196,,,4.57E-07,-0.01198,,,
3.31E-07,-0.001705,5.37E-07,-0.001825,,,5.37E-07,-0.00157,,,5.37E-07,-0.000557,,,5.37E-07,-0.012,,,5.37E-07,-0.01202,,,
3.89E-07,-0.001737,6.31E-07,-0.001881,,,6.31E-07,-0.00163,,,6.31E-07,-0.000653,,,6.31E-07,-0.01205,,,6.31E-07,-0.01206,,,
4.57E-07,-0.001777,7.42E-07,-0.001949,,,7.42E-07,-0.00171,,,7.42E-07,-0.000766,,,7.42E-07,-0.0121,,,7.42E-07,-0.01212,,,
5.37E-07,-0.001825,8.71E-07,-0.00203,,,8.71E-07,-0.00179,,,8.71E-07,-0.000898,,,8.71E-07,-0.01216,,,8.71E-07,-0.01218,,,
6.31E-07,-0.001881,1.02E-06,-0.00213,,,1.02E-06,-0.0019,,,1.02E-06,-0.001054,,,1.02E-06,-0.01223,,,1.02E-06,-0.01225,,,
