"Ix","Iz"
-1e-08,-0.000552
-1.07189131921e-08,-0.000551
-1.14895100019e-08,-0.000551
-1.23155060329e-08,-0.00055
-1.32008840083e-08,-0.00055
-1.41499129743e-08,-0.000549
-1.51671688847e-08,-0.000548
-1.62575566644e-08,-0.000548
-1.74263338601e-08,-0.000547
-1.86791359902e-08,-0.000546
-2.00220037182e-08,-0.000546
-2.14614119786e-08,-0.000545
-2.30043011977e-08,-0.000544
-2.46581107582e-08,-0.000543
-2.64308148697e-08,-0.000542
-2.83309610184e-08,-0.000541
-3.03677111804e-08,-0.00054
-3.25508859984e-08,-0.000539
-3.48910121341e-08,-0.000538
-3.73993730248e-08,-0.000537
-4.0088063289e-08,-0.000536
-4.29700470432e-08,-0.000535
-4.60592204115e-08,-0.000533
-4.93704785284e-08,-0.000531
-5.29197873596e-08,-0.00053
-5.67242606849e-08,-0.000528
-6.08022426165e-08,-0.000526
-6.51733960488e-08,-0.000524
-6.98587974679e-08,-0.000522
-7.48810385759e-08,-0.00052
-8.02643352226e-08,-0.000518
-8.60346441668e-08,-0.000515
-9.22197882333e-08,-0.000512
-9.88495904663e-08,-0.000509
-1.05956017928e-07,-0.000506
-1.13573335834e-07,-0.000503
-1.21738272774e-07,-0.000499
-1.30490197801e-07,-0.000496
-1.39871310265e-07,-0.000492
-1.49926843279e-07,-0.000488
-1.60705281826e-07,-0.000483
-1.7225859654e-07,-0.000478
-1.8464249429e-07,-0.000474
-1.97916686785e-07,-0.000468
-2.12145178491e-07,-0.000462
-2.27396575236e-07,-0.000456
-2.43744415012e-07,-0.00045
-2.61267522556e-07,-0.000443
-2.80050389418e-07,-0.000436
-3.00183581358e-07,-0.000429
-3.21764175025e-07,-0.000422
-3.44896226041e-07,-0.000414
-3.6969127072e-07,-0.000406
-3.9626886387e-07,-0.000397
-4.24757155254e-07,-0.000388
-4.55293507487e-07,-0.000379
-4.88025158365e-07,-0.000369
-5.23109930806e-07,-0.000359
-5.60716993821e-07,-0.000349
-6.01027678207e-07,-0.000338
-6.44236350872e-07,-0.000327
-6.90551352016e-07,-0.000316
-7.40195999692e-07,-0.000305
-7.9340966658e-07,-0.000294
-8.5044893418e-07,-0.000282
-9.11588829975e-07,-0.000271
-9.77124153535e-07,-0.000259
-1.04737089796e-06,-0.000248
-1.12266777351e-06,-0.000236
-1.20337784078e-06,-0.000225
-1.28989026125e-06,-0.000214
-1.38262217376e-06,-0.000203
-1.4820207058e-06,-0.000193
-1.58856512943e-06,-0.000182
-1.70276917223e-06,-0.000172
-1.82518349432e-06,-0.000162
-1.95639834352e-06,-0.000153
-2.09704640132e-06,-0.000143
-2.24780583355e-06,-0.000134
-2.40940356024e-06,-0.000126
-2.58261876068e-06,-0.000118
-2.76828663039e-06,-0.000111
-2.96730240819e-06,-0.000105
-3.18062569279e-06,-9.87e-05
-3.40928506975e-06,-9.25e-05
-3.65438307096e-06,-8.67e-05
-3.91710149081e-06,-8.12e-05
-4.19870708444e-06,-7.6e-05
-4.5005576757e-06,-7.13e-05
-4.82410870417e-06,-6.66e-05
-5.1709202429e-06,-6.23e-05
-5.54266452066e-06,-5.82e-05
-5.94113398497e-06,-5.45e-05
-6.36824994472e-06,-5.09e-05
-6.82607183427e-06,-4.77e-05
-7.31680714343e-06,-4.45e-05
-7.84282206134e-06,-4.16e-05
-8.40665288562e-06,-3.89e-05
-9.01101825167e-06,-3.63e-05
-9.65883224116e-06,-3.39e-05
-1.0353218433e-05,-3.16e-05
-1.10975249641e-05,-2.95e-05
-1.18953406737e-05,-2.76e-05
-1.27505124071e-05,-2.57e-05
-1.36671635646e-05,-2.4e-05
-1.46497139831e-05,-2.25e-05
-1.57029012473e-05,-2.1e-05
-1.68318035333e-05,-1.96e-05
-1.80418640939e-05,-1.83e-05
-1.93389175046e-05,-1.71e-05
-2.0729217796e-05,-1.58e-05
-2.22194686094e-05,-1.48e-05
-2.38168555198e-05,-1.38e-05
-2.55290806824e-05,-1.29e-05
-2.73643999707e-05,-1.2e-05
-2.93316627839e-05,-1.12e-05
-3.14403547159e-05,-1.05e-05
-3.37006432927e-05,-9.66e-06
-3.61234269971e-05,-9.03e-06
-3.87203878181e-05,-8.42e-06
-4.15040475785e-05,-7.86e-06
-4.44878283113e-05,-7.34e-06
-4.76861169771e-05,-6.84e-06
-5.11143348344e-05,-6.38e-06
