Ix1, Iz1,Iz1,,Ix2, Iz2,Iz2,,Ix3, Iz3,Iz3
1.66E-06,-2.69E-05,2.69E-05,,1.66E-06,-1.41E-05,1.41E-05,,1.66E-06,-3.62E-06,3.62E-06
1.95E-06,-3.28E-05,3.28E-05,,1.95E-06,-1.54E-05,1.54E-05,,1.95E-06,-4.18E-06,4.18E-06
2.29E-06,-3.84E-05,3.84E-05,,2.29E-06,-1.68E-05,1.68E-05,,2.29E-06,-4.71E-06,4.71E-06
2.69E-06,-4.44E-05,4.44E-05,,2.69E-06,-1.83E-05,1.83E-05,,2.69E-06,-5.30E-06,5.30E-06
3.16E-06,-5.06E-05,5.06E-05,,3.16E-06,-2.00E-05,2.00E-05,,3.16E-06,-5.93E-06,5.93E-06
3.72E-06,-5.70E-05,5.70E-05,,3.72E-06,-2.21E-05,2.21E-05,,3.72E-06,-6.59E-06,6.59E-06
4.37E-06,-6.38E-05,6.38E-05,,4.37E-06,-2.40E-05,2.40E-05,,4.37E-06,-7.29E-06,7.29E-06
5.13E-06,-7.10E-05,7.10E-05,,5.13E-06,-2.61E-05,2.61E-05,,5.13E-06,-8.04E-06,8.04E-06
6.03E-06,-7.86E-05,7.86E-05,,6.03E-06,-2.84E-05,2.84E-05,,6.03E-06,-8.85E-06,8.85E-06
7.08E-06,-8.67E-05,8.67E-05,,7.08E-06,-3.09E-05,3.09E-05,,7.08E-06,-9.70E-06,9.70E-06
8.32E-06,-9.53E-05,9.53E-05,,8.32E-06,-3.36E-05,3.36E-05,,8.32E-06,-1.06E-05,1.06E-05
9.77E-06,-0.0001044,1.04E-04,,9.77E-06,-3.65E-05,3.65E-05,,9.77E-06,-1.16E-05,1.16E-05
1.15E-05,-0.0001142,1.14E-04,,1.15E-05,-3.97E-05,3.97E-05,,1.15E-05,-1.27E-05,1.27E-05
1.35E-05,-0.0001247,1.25E-04,,1.35E-05,-4.31E-05,4.31E-05,,1.35E-05,-1.38E-05,1.38E-05
1.59E-05,-0.000136,1.36E-04,,1.59E-05,-4.67E-05,4.67E-05,,1.59E-05,-1.50E-05,1.50E-05
1.86E-05,-0.0001482,1.48E-04,,1.86E-05,-5.07E-05,5.07E-05,,1.86E-05,-1.63E-05,1.63E-05
2.19E-05,-0.0001603,1.60E-04,,2.19E-05,-5.47E-05,5.47E-05,,2.19E-05,-1.76E-05,1.76E-05
2.57E-05,-0.0001742,1.74E-04,,2.57E-05,-5.93E-05,5.93E-05,,2.57E-05,-1.91E-05,1.91E-05
3.02E-05,-0.0001894,1.89E-04,,3.02E-05,-6.44E-05,6.44E-05,,3.02E-05,-2.11E-05,2.11E-05
3.55E-05,-0.000206,2.06E-04,,3.55E-05,-6.98E-05,6.98E-05,,3.55E-05,-2.29E-05,2.29E-05
4.17E-05,-0.000223,2.23E-04,,4.17E-05,-7.57E-05,7.57E-05,,4.17E-05,-2.48E-05,2.48E-05
4.90E-05,-0.000242,2.42E-04,,4.90E-05,-8.22E-05,8.22E-05,,4.90E-05,-2.70E-05,2.70E-05
5.76E-05,-0.000263,2.63E-04,,5.76E-05,-8.92E-05,8.92E-05,,5.76E-05,-2.93E-05,2.93E-05
6.76E-05,-0.000286,2.86E-04,,6.76E-05,-9.66E-05,9.66E-05,,6.76E-05,-3.18E-05,3.18E-05
7.95E-05,-0.000311,3.11E-04,,7.95E-05,-0.0001048,1.05E-04,,7.95E-05,-3.45E-05,3.45E-05
9.34E-05,-0.000337,3.37E-04,,9.34E-05,-0.0001135,1.14E-04,,9.34E-05,-3.75E-05,3.75E-05
0.00010965,-0.000366,3.66E-04,,0.00010965,-0.0001231,1.23E-04,,0.00010965,-4.07E-05,4.07E-05
0.0001288,-0.000397,3.97E-04,,0.0001288,-0.0001333,1.33E-04,,0.0001288,-4.42E-05,4.42E-05
