"Ix","Iz"
-6.44236350872e-07,-6.72e-05
-6.90551352016e-07,-6.79e-05
-7.40195999692e-07,-6.86e-05
-7.9340966658e-07,-6.94e-05
-8.5044893418e-07,-7.01e-05
-9.11588829975e-07,-7.1e-05
-9.77124153535e-07,-7.18e-05
-1.04737089796e-06,-7.28e-05
-1.12266777351e-06,-7.37e-05
-1.20337784078e-06,-7.48e-05
-1.28989026125e-06,-7.58e-05
-1.38262217376e-06,-7.7e-05
-1.4820207058e-06,-7.82e-05
-1.58856512943e-06,-7.95e-05
-1.70276917223e-06,-8.08e-05
-1.82518349432e-06,-8.22e-05
-1.95639834352e-06,-8.37e-05
-2.09704640132e-06,-8.55e-05
-2.24780583355e-06,-8.72e-05
-2.40940356024e-06,-8.89e-05
-2.58261876068e-06,-9.08e-05
-2.76828663039e-06,-9.26e-05
-2.96730240819e-06,-9.46e-05
-3.18062569279e-06,-9.66e-05
-3.40928506975e-06,-9.89e-05
-3.65438307096e-06,-0.0001012
-3.91710149081e-06,-0.0001036
-4.19870708444e-06,-0.0001061
-4.5005576757e-06,-0.0001087
-4.82410870417e-06,-0.0001115
-5.1709202429e-06,-0.0001144
-5.54266452066e-06,-0.0001174
-5.94113398497e-06,-0.0001205
-6.36824994472e-06,-0.0001237
-6.82607183427e-06,-0.0001271
-7.31680714343e-06,-0.0001306
-7.84282206134e-06,-0.0001344
-8.40665288562e-06,-0.0001381
-9.01101825167e-06,-0.0001421
-9.65883224116e-06,-0.0001463
-1.0353218433e-05,-0.0001507
-1.10975249641e-05,-0.0001552
-1.18953406737e-05,-0.0001598
-1.27505124071e-05,-0.0001646
-1.36671635646e-05,-0.0001696
-1.46497139831e-05,-0.0001748
-1.57029012473e-05,-0.0001803
-1.68318035333e-05,-0.0001859
-1.80418640939e-05,-0.0001917
-1.93389175046e-05,-0.0001978
-2.0729217796e-05,-0.000206
-2.22194686094e-05,-0.000212
-2.38168555198e-05,-0.000219
-2.55290806824e-05,-0.000226
-2.73643999707e-05,-0.000233
-2.93316627839e-05,-0.000241
-3.14403547159e-05,-0.000249
-3.37006432927e-05,-0.000257
-3.61234269971e-05,-0.000265
-3.87203878181e-05,-0.000274
-4.15040475785e-05,-0.000283
-4.44878283113e-05,-0.000293
-4.76861169771e-05,-0.000303
-5.11143348344e-05,-0.000313
-5.47890117959e-05,-0.000324
-5.87278661319e-05,-0.000334
-6.29498899022e-05,-0.000346
-6.74754405311e-05,-0.000358
-7.23263389648e-05,-0.00037
-7.75259748863e-05,-0.000382
-8.30994194935e-05,-0.000395
-8.90735463861e-05,-0.000409
-9.54771611421e-05,-0.000423
-0.000102341140211,-0.000438
-0.000109698579789,-0.000453
-0.000117584955405,-0.000468
-0.000126038292968,-0.000484
-0.00013509935212,-0.0005
-0.000144811822767,-0.000517
-0.000155222535743,-0.000535
-0.000166381688608,-0.000553
-0.000178343087693,-0.000572
-0.000191164407539,-0.000591
-0.000204907468982,-0.000615
-0.000219638537242,-0.000634
-0.000235428641432,-0.000646
-0.000252353917043,-0.000652
-0.000270495973046,-0.000657
-0.000289942285388,-0.000661
-0.000310786618778,-0.000665
-0.000333129478793,-0.000669
-0.00035707859649,-0.000673
-0.000382749447852,-0.000678
-0.000410265810583,-0.000684
-0.00043976036093,-0.000691
-0.000471375313412,-0.000699
-0.000505263106534,-0.000707
-0.000541587137808,-0.000715
-0.000580522551609,-0.000724
-0.000622257083673,-0.000734
-0.000666991966303,-0.000743
-0.00071494289866,-0.000754
-0.000766341086801,-0.000765
-0.000821434358492,-0.000779
-0.000880488358164,-0.000794
-0.000943787827778,-0.000811
-0.00101163797977,-0.000828
-0.00108436596869,-0.000844
-0.00116232246868,-0.000859
-0.0012458833643,-0.000875
-0.00133545156293,-0.000891
-0.00143145893752,-0.000905
-0.00153436840893,-0.000919
-0.00164467617799,-0.000932
-0.0017629141181,-0.000942
-0.00188965233969,-0.00095
-0.00202550193923,-0.001045
-0.00217111794569,-0.001066
-0.00232720247896,-0.001092
-0.00249450813523,-0.001126
-0.00267384161584,-0.001162
-0.00286606761695,-0.001199
-0.00307211299886,-0.001226
-0.0032929712551,-0.001262
-0.00352970730273,-0.001301
-0.00378346261713,-0.001352
-0.00405546073584,-0.001498
-0.00434701315813,-0.001595
-0.00465952566866,-0.001663
-0.00499450511586,-0.001735
-0.00535356667741,-0.001781
-0.0057384416483,-0.0018
-0.00615098578858,-0.001791
-0.00659318827133,-0.001757
-0.00706718127393,-0.001707
-0.00757525025877,-0.001647
-0.00811984499318,-0.001578
-0.00870359136149,-0.00148
-0.00932930402628,-0.001348
-0.01,-0.001268
