Sweeping current Ix for 3 values of Iy
Trial 1 for input current Ix
Ix, Iz
1.55e-08,-1.71e-08
1.82e-08,1.25e-08
2.14e-08,-4.7e-09
2.51e-08,-3.3e-09
2.95e-08,-7.1e-09
3.465e-08,-1.7e-08
4.075e-08,-6.5e-09
4.785e-08,9.8e-09
5.625e-08,1.4e-09
6.605e-08,-7.6e-09
7.76e-08,-2.22e-08
9.12e-08,-9e-09
1.0715e-07,4.5e-09
1.259e-07,-7e-09
1.479e-07,-1.97e-08
1.738e-07,-1.69e-08
2.04e-07,-2.48e-08
2.4e-07,-3.09e-08
2.82e-07,-5.4e-09
3.31e-07,5.4e-09
3.89e-07,2.9e-09
4.57e-07,-1.21e-08
5.37e-07,-5.62e-08
6.31e-07,-9.29e-08
7.415e-07,-5.73e-08
8.71e-07,-1.19e-08
1.0235e-06,2.46e-08
1.2025e-06,3.24e-08
1.4125e-06,1.93e-08
1.6595e-06,1.57e-08
1.95e-06,1.16e-08
2.29e-06,1.28e-08
2.69e-06,-1e-09
3.16e-06,-2.35e-08
3.715e-06,-4.74e-08
4.365e-06,-2.23e-08
5.13e-06,2.8e-09
6.025e-06,1.8e-08
7.08e-06,3.03e-08
8.32e-06,4.1e-08
9.77e-06,3.81e-08
1.148e-05,4.31e-08
1.349e-05,2.97e-08
1.585e-05,3.2e-08
1.862e-05,3.59e-08
2.19e-05,2.13e-08
2.57e-05,1.08e-08
3.02e-05,1.77e-08
3.55e-05,2.38e-08
4.17e-05,1.94e-08
4.9e-05,1.74e-08
5.755e-05,1.87e-08
6.76e-05,1.67e-08
7.945e-05,1.75e-08
9.335e-05,1.37e-08
0.00010965,1.45e-08
0.0001288,1.22e-08
0.00015135,1.35e-08
0.00017785,1.24e-08
0.000209,1.48e-08
0.0002455,1.61e-08
0.0002885,1.31e-08
0.000339,2.47e-08
0.000398,1.77e-08
0.0004675,7.8e-09
0.0005495,-2e-09
0.0006455,5e-09
0.0007585,2.29e-08
0.0008915,3.01e-08
0.001047,2.13e-08
0.0012305,-2.3e-09
0.0014455,7.6e-09
0.001698,1.57e-08
0.0019955,1.74e-08
0.002345,3.9e-09
0.002755,2.8e-09
0.003235,1.24e-08
0.0038,1.58e-08
0.004465,1.11e-08
0.00525,7.8e-09
0.006165,1.37e-08
0.007245,2.8e-09
0.00851,-4.8e-09
0.01,-8.2e-09
Sweeping current Iy for 3 values of Ix
Trial 1 for input current Iy
Iy, Iz
1e-09,-1.89e-08
1.15e-09,-2.83e-08
1.4e-09,-1.97e-08
1.6e-09,1.8e-09
1.9e-09,1.09e-08
2.25e-09,1.24e-08
2.65e-09,2.31e-08
3.1e-09,2.54e-08
3.65e-09,-4.02e-08
4.25e-09,-1.118e-07
5e-09,2.5e-09
5.9e-09,2.79e-08
6.9e-09,1.56e-08
8.15e-09,2.96e-08
9.55e-09,8.49e-08
1.12e-08,2.95e-08
1.32e-08,8.9e-09
1.55e-08,3.3e-07
1.82e-08,2.05e-07
2.14e-08,6.61e-08
2.51e-08,1.2e-09
2.95e-08,-2.23e-08
3.465e-08,-3.87e-08
4.075e-08,-3.41e-08
4.785e-08,-2.49e-08
5.625e-08,-2.36e-08
6.605e-08,-1.97e-08
7.76e-08,-9.4e-09
9.12e-08,-2.02e-08
1.0715e-07,-1.97e-08
1.259e-07,-1.86e-08
1.479e-07,-1.62e-08
1.738e-07,-9.6e-09
2.04e-07,-2.23e-08
2.4e-07,-2.1e-08
2.82e-07,-1.16e-08
3.31e-07,-1.28e-08
3.89e-07,-1.15e-08
4.57e-07,-1.38e-08
5.37e-07,-1e-09
6.31e-07,-4e-09
7.415e-07,-1.53e-08
8.71e-07,-1.96e-08
1.0235e-06,-1.72e-08
1.2025e-06,-2.66e-08
1.4125e-06,-2.65e-08
1.6595e-06,-1.15e-08
1.95e-06,-7.1e-09
2.29e-06,-7.9e-09
2.69e-06,-6.5e-09
3.16e-06,-4.1e-09
3.715e-06,1.1e-08
4.365e-06,1.38e-08
5.13e-06,1.82e-08
6.025e-06,1.04e-08
7.08e-06,1.96e-08
8.32e-06,2.5e-08
9.77e-06,2.04e-08
1.148e-05,1e-08
1.349e-05,9.4e-09
1.585e-05,3.4e-09
1.862e-05,7.8e-09
2.19e-05,1.34e-08
2.57e-05,7.9e-09
3.02e-05,1.31e-08
3.55e-05,6.8e-09
4.17e-05,9.8e-09
4.9e-05,9.5e-09
5.755e-05,8.3e-09
6.76e-05,7.2e-09
7.945e-05,5.8e-09
9.335e-05,4.9e-09
0.00010965,9.8e-09
0.0001288,4.2e-09
0.00015135,3.8e-09
0.00017785,8e-09
0.000209,3.5e-09
0.0002455,1.03e-08
0.0002885,6.4e-09
0.000339,-5.1e-09
0.000398,-2.8e-09
0.0004675,2.4e-09
0.0005495,5.6e-09
0.0006455,1.5e-09
0.0007585,6e-10
0.0008915,-7.3e-09
0.001047,-8.9e-09
0.0012305,2e-09
0.0014455,1e-10
0.001698,2.2e-09
0.0019955,-5.3e-09
0.002345,-1.27e-08
0.002755,-1.56e-08
0.003235,-3.4e-09
0.0038,2.59e-08
0.004465,3.86e-08
0.00525,2.71e-08
0.006165,1.08e-08
0.007245,1.19e-08
0.00851,1.34e-08
0.01,1.97e-08
Trial 2 for input current Iy
Iy, Iz
1e-09,1.85e-08
1.15e-09,1.39e-08
1.4e-09,2.4e-09
1.6e-09,1.15e-08
1.9e-09,1.38e-08
2.25e-09,7.6e-09
2.65e-09,2.6e-09
3.1e-09,1.03e-08
3.65e-09,1.07e-08
4.25e-09,1.48e-08
5e-09,6.6e-09
5.9e-09,8.8e-09
6.9e-09,6.8e-09
8.15e-09,7.2e-09
9.55e-09,7.1e-09
1.12e-08,1.77e-08
1.32e-08,4.7e-09
1.55e-08,8.9e-09
1.82e-08,9e-09
2.14e-08,1.45e-08
2.51e-08,8.5e-09
2.95e-08,8.9e-09
3.465e-08,1.23e-08
4.075e-08,1.19e-08
4.785e-08,6.8e-09
5.625e-08,1.37e-08
6.605e-08,1.12e-08
7.76e-08,1.17e-08
9.12e-08,2.7e-09
1.0715e-07,6.8e-09
1.259e-07,1.52e-08
1.479e-07,2e-09
1.738e-07,7.8e-09
2.04e-07,2.16e-08
2.4e-07,7.4e-09
2.82e-07,1.14e-08
3.31e-07,1.08e-08
3.89e-07,1.17e-08
4.57e-07,9.9e-09
5.37e-07,7.8e-09
6.31e-07,8e-09
7.415e-07,1.26e-08
8.71e-07,7.5e-09
1.0235e-06,8.6e-09
1.2025e-06,1.1e-08
