196,Iy1, Iz,Iz with 196 ohm,Iz with 39 ohm,Iz with 1k,,976,Iy2, Iz,Iz2,,39 ohm,Iy3, Iz,Iz3,,,, Iz,Iz4
,3.31E-07,-0.00069,0.00069,0.01869,0.00276,,,3.31E-07,-0.0001281,0.0001281,,,3.31E-07,-0.01869,0.01869,,,,-0.00276,0.00276
,3.89E-07,-0.00069,0.00069,0.01869,0.00275,,,3.89E-07,-0.0001271,0.0001271,,,3.89E-07,-0.01869,0.01869,,,,-0.00275,0.00275
,4.57E-07,-0.00069,0.00069,0.01873,0.00275,,,4.57E-07,-0.000126,0.000126,,,4.57E-07,-0.01873,0.01873,,,,-0.00275,0.00275
,5.37E-07,-0.00069,0.00069,0.01992,0.00274,,,5.37E-07,-0.0001246,0.0001246,,,5.37E-07,-0.01992,0.01992,,,,-0.00274,0.00274
,6.31E-07,-0.00069,0.00069,0.01996,0.00273,,,6.31E-07,-0.000123,0.000123,,,6.31E-07,-0.01996,0.01996,,,,-0.00273,0.00273
,7.42E-07,-0.000691,0.000691,0.01999,0.00273,,,7.42E-07,-0.000121,0.000121,,,7.42E-07,-0.01999,0.01999,,,,-0.00273,0.00273
,8.71E-07,-0.00069,0.00069,0.02,0.00272,,,8.71E-07,-0.0001185,0.0001185,,,8.71E-07,-0.02,0.02,,,,-0.00272,0.00272
,1.02E-06,-0.000687,0.000687,0.02001,0.00271,,,1.02E-06,-0.0001157,0.0001157,,,1.02E-06,-0.02001,0.02001,,,,-0.00271,0.00271
,1.20E-06,-0.000684,0.000684,0.02001,0.00271,,,1.20E-06,-0.0001123,0.0001123,,,1.20E-06,-0.02001,0.02001,,,,-0.00271,0.00271
,1.41E-06,-0.000681,0.000681,0.02002,0.0027,,,1.41E-06,-0.0001082,0.0001082,,,1.41E-06,-0.02002,0.02002,,,,-0.0027,0.0027
,1.66E-06,-0.000677,0.000677,0.02002,0.00269,,,1.66E-06,-0.0001037,0.0001037,,,1.66E-06,-0.02002,0.02002,,,,-0.00269,0.00269
,1.95E-06,-0.000672,0.000672,0.02002,0.00269,,,1.95E-06,-9.76E-05,0.0000976,,,1.95E-06,-0.02002,0.02002,,,,-0.00269,0.00269
,2.29E-06,-0.000666,0.000666,0.02002,0.00268,,,2.29E-06,-9.02E-05,0.0000902,,,2.29E-06,-0.02002,0.02002,,,,-0.00268,0.00268
,2.69E-06,-0.000659,0.000659,0.02002,0.00267,,,2.69E-06,-8.01E-05,0.0000801,,,2.69E-06,-0.02002,0.02002,,,,-0.00267,0.00267
,3.16E-06,-0.000651,0.000651,0.02001,0.00266,,,3.16E-06,-6.64E-05,0.0000664,,,3.16E-06,-0.02001,0.02001,,,,-0.00266,0.00266
,3.72E-06,-0.00064,0.00064,0.02,0.00265,,,3.72E-06,-4.54E-05,0.0000454,,,3.72E-06,-0.02,0.02,,,,-0.00265,0.00265
,4.37E-06,-0.000628,0.000628,0.01999,0.00264,,,4.37E-06,-1.10E-09,1.10E-09,,,4.37E-06,-0.01999,0.01999,,,,-0.00264,0.00264
,5.13E-06,-0.000614,0.000614,0.01913,0.00262,,,5.13E-06,-8.00E-10,8.00E-10,,,5.13E-06,-0.01913,0.01913,,,,-0.00262,0.00262
,6.03E-06,-0.000596,0.000596,0.01885,0.00261,,,6.03E-06,-8.00E-10,8.00E-10,,,6.03E-06,-0.01885,0.01885,,,,-0.00261,0.00261
,7.08E-06,-0.00057,0.00057,0.01876,0.00259,,,7.08E-06,-8.00E-10,8.00E-10,,,7.08E-06,-0.01876,0.01876,,,,-0.00259,0.00259
,8.32E-06,-0.000543,0.000543,0.01873,0.00257,,,8.32E-06,-2.00E-10,2.00E-10,,,8.32E-06,-0.01873,0.01873,,,,-0.00257,0.00257
,9.77E-06,-0.000511,0.000511,0.01871,0.00255,,,9.77E-06,7.00E-10,-7.00E-10,,,9.77E-06,-0.01871,0.01871,,,,-0.00255,0.00255
,1.15E-05,-0.00047,0.00047,0.01869,0.00252,,,1.15E-05,-1.30E-09,1.30E-09,,,1.15E-05,-0.01869,0.01869,,,,-0.00252,0.00252
