NOTE! USE JUST THE FIRST TRIAL, IT WAS TAKEN WITH TWO 39 OHM RESISTORS
Sweeping current Ix for 3 values of Iy,
Trial 1 for input current Ix,
Ix, Iz
7.08E-06,-1.00E-09
8.32E-06,-9.00E-10
9.77E-06,-8.00E-10
1.15E-05,-1.10E-09
1.35E-05,-8.00E-10
1.59E-05,-9.00E-10
1.86E-05,-7.00E-10
2.19E-05,-8.00E-10
2.57E-05,-1.00E-09
3.02E-05,-8.00E-10
3.55E-05,-8.00E-10
4.17E-05,-7.00E-10
4.90E-05,-9.00E-10
5.76E-05,-5.00E-10
6.76E-05,-6.00E-10
7.95E-05,-7.00E-10
9.34E-05,-5.00E-10
0.00010965,-7.00E-10
0.0001288,-6.00E-10
0.00015135,-8.00E-10
0.00017785,-8.00E-10
0.000209,-9.00E-10
0.0002455,-7.00E-10
0.0002885,-8.00E-10
0.000339,-8.00E-10
0.000398,-7.00E-10
0.0004675,-9.00E-10
0.0005495,-9.00E-10
0.0006455,-5.00E-10
0.0007585,-6.00E-10
0.0008915,-8.00E-10
0.001047,-9.00E-10
0.0012305,-7.00E-10
0.0014455,-8.00E-10
0.001698,-7.00E-10
0.0019955,-7.00E-10
0.002345,-1.00E-09
0.002755,-4.00E-10
0.003235,-1.00E-09
0.0038,-4.00E-10
0.004465,-8.00E-10
0.00525,-6.00E-10
0.006165,-7.00E-10
0.007245,-4.00E-10
0.00851,-5.00E-10
0.01,-4.00E-10
Trial 2 for input current Iy,
Iy, Iz
1.00E-09,-2.74E-06
1.15E-09,-2.71E-06
1.40E-09,-2.70E-06
1.60E-09,-2.70E-06
1.90E-09,-2.69E-06
2.25E-09,-2.69E-06
2.65E-09,-2.68E-06
3.10E-09,-2.67E-06
3.65E-09,-2.66E-06
4.25E-09,-2.65E-06
5.00E-09,-2.64E-06
5.90E-09,-2.63E-06
6.90E-09,-2.61E-06
8.15E-09,-2.59E-06
9.55E-09,-2.57E-06
1.12E-08,-2.54E-06
1.32E-08,-2.50E-06
1.55E-08,-2.46E-06
1.82E-08,-2.42E-06
2.14E-08,-2.36E-06
2.51E-08,-2.29E-06
2.95E-08,-2.20E-06
3.47E-08,-2.09E-06
4.08E-08,-1.96E-06
4.79E-08,-1.79E-06
5.63E-08,-1.57E-06
6.61E-08,-1.26E-06
