"Vb","Ve"
0.0,5.025
0.05,4.116
0.1,5.025
0.15,5.025
0.2,4.116
0.25,5.025
0.3,5.025
0.35,4.116
0.4,5.025
0.45,4.116
0.5,4.99
0.55,4.116
0.6,4.85
0.65,4.116
0.7,4.67
0.75,4.116
0.8,4.116
0.85,4.116
0.9,4.116
0.95,4.116
1.0,4.06
1.05,3.964
1.1,3.864
1.15,3.758
1.2,3.654
1.25,3.548
1.3,3.442
1.35,3.336
1.4,3.218
1.45,3.118
1.5,3.012
1.55,2.902
1.6,2.796
1.65,2.688
1.7,2.582
1.75,2.478
1.8,2.37
1.85,2.266
1.9,2.16
1.95,2.058
2.0,1.956
2.05,1.854
2.1,1.75
2.15,1.658
2.2,1.646
2.25,1.674
2.3,1.712
2.35,1.752
2.4,1.796
2.45,1.84
2.5,1.884
2.55,1.93
2.6,1.976
2.65,2.022
2.7,2.07
2.75,2.116
2.8,2.164
2.85,2.212
2.9,2.258
2.95,2.306
3.0,2.356
3.05,2.404
3.1,2.454
3.15,2.502
3.2,2.55
3.25,2.598
3.3,2.646
3.35,2.694
3.4,2.742
3.45,2.788
3.5,2.838
3.55,2.886
3.6,2.934
3.65,2.982
3.7,3.03
3.75,3.08
3.8,3.128
3.85,3.176
3.9,3.224
3.95,3.27
4.0,3.318
4.05,3.37
4.1,3.42
4.15,3.468
4.2,3.516
4.25,3.566
4.3,3.614
4.35,3.662
4.4,3.71
4.45,3.758
4.5,3.808
4.55,3.856
4.6,3.906
4.65,3.954
4.7,4.002
4.75,4.05
4.8,4.098
4.85,4.116
4.9,4.116
4.95,4.116
5.0,4.116
