Run 1
Vb, Ib, Ie, Ic
1.3,7.5e-08,-5e-10,-7.55e-08
1.35,6.75e-08,-4e-10,-6.79e-08
1.4,7.05e-08,-1.1e-09,-7.16e-08
1.45,6.39e-08,-6e-10,-6.45e-08
1.5,7.79e-08,-6e-10,-7.85e-08
1.55,8.26e-08,-5e-10,-8.31e-08
1.6,8.05e-08,-1e-09,-8.15e-08
1.65,8.68e-08,-8e-10,-8.76e-08
1.7,9.06e-08,-6e-10,-9.12e-08
1.75,9.98e-08,-7e-10,-1.005e-07
1.8,1.097e-07,-8e-10,-1.105e-07
1.85,1.05e-07,-3e-10,-1.053e-07
1.9,1.151e-07,-4e-10,-1.155e-07
1.95,1.102e-07,-8e-10,-1.11e-07
2.0,1.072e-07,-6e-10,-1.078e-07
2.05,1.55e-07,-4e-10,-1.554e-07
2.1,1.625e-07,-9e-10,-1.634e-07
2.15,1.555e-07,-6e-10,-1.561e-07
2.2,1.448e-07,-6e-10,-1.454e-07
2.25,1.481e-07,-6e-10,-1.487e-07
2.3,1.501e-07,-4e-10,-1.505e-07
2.35,1.529e-07,-7e-10,-1.536e-07
2.4,1.531e-07,-4e-10,-1.535e-07
2.45,1.534e-07,-8e-10,-1.542e-07
2.5,1.618e-07,-6e-10,-1.624e-07
2.55,1.697e-07,-6e-10,-1.703e-07
2.6,1.697e-07,-6e-10,-1.703e-07
2.65,1.724e-07,-8e-10,-1.732e-07
2.7,1.741e-07,-6e-10,-1.747e-07
2.75,1.832e-07,-8e-10,-1.84e-07
2.8,1.813e-07,-6e-10,-1.819e-07
2.85,1.764e-07,-7e-10,-1.771e-07
2.9,1.76e-07,-6e-10,-1.766e-07
2.95,1.798e-07,-5e-10,-1.803e-07
3.0,1.892e-07,-5e-10,-1.897e-07
3.05,1.935e-07,-3e-10,-1.938e-07
3.1,1.893e-07,-6e-10,-1.899e-07
3.15,1.881e-07,-7e-10,-1.888e-07
3.2,1.9e-07,-5e-10,-1.905e-07
3.25,1.948e-07,-7e-10,-1.955e-07
3.3,1.976e-07,-6e-10,-1.982e-07
3.35,1.959e-07,-2e-10,-1.961e-07
3.4,1.933e-07,-9e-10,-1.942e-07
3.45,1.968e-07,-3e-10,-1.971e-07
3.5,2.039e-07,-3e-10,-2.042e-07
3.55,2.028e-07,-5e-10,-2.033e-07
3.6,2.038e-07,-7e-10,-2.045e-07
3.65,4.9e-08,-4e-10,-4.94e-08
3.7,4.5e-08,-6e-10,-4.56e-08
3.75,4.9e-08,-8e-10,-4.98e-08
3.8,4.4e-08,-5e-10,-4.45e-08
3.85,4.9e-08,-7e-10,-4.97e-08
3.9,5e-08,-5e-10,-5.05e-08
3.95,4.9e-08,-6e-10,-4.96e-08
4.0,5.5e-08,-4e-10,-5.54e-08
4.05,5.2e-08,-6e-10,-5.26e-08
4.1,5e-08,-6e-10,-5.06e-08
4.15,5.1e-08,-6e-10,-5.16e-08
4.2,4.9e-08,-4e-10,-4.94e-08
4.25,5.2e-08,-8e-10,-5.28e-08
4.3,5e-08,-7e-10,-5.07e-08
4.35,5.7e-08,-4e-10,-5.74e-08
4.4,5.3e-08,-5e-10,-5.35e-08
4.45,5.2e-08,-6e-10,-5.26e-08
4.5,5.1e-08,-6e-10,-5.16e-08
4.55,5.3e-08,-9e-10,-5.39e-08
4.6,5.4e-08,-4e-10,-5.44e-08
4.65,6.2e-08,-6e-10,-6.26e-08
4.7,5.4e-08,-5e-10,-5.45e-08
4.75,5.4e-08,-6e-10,-5.46e-08
4.8,5.6e-08,-7e-10,-5.67e-08
4.85,6.1e-08,-7e-10,-6.17e-08
4.9,6.1e-08,-4e-10,-6.14e-08
4.95,5.8e-08,-5e-10,-5.85e-08
5.0,6.3e-08,-5e-10,-6.35e-08
Run 3
Vb, Ib, Ie, Ic
0.0,-2.33e-08,-1e-09,2.23e-08
0.05,-1.5e-09,-5e-10,1e-09
0.1,4.5e-09,-6e-10,-5.1e-09
0.15,6.6e-09,-8e-10,-7.4e-09
0.2,1e-08,-4e-10,-1.04e-08
0.25,1.29e-08,-5e-10,-1.34e-08
0.3,1.59e-08,-4e-10,-1.63e-08
0.35,2.11e-08,-4e-10,-2.15e-08
0.4,2.54e-08,-9e-10,-2.63e-08
0.45,2.66e-08,-5e-10,-2.71e-08
0.5,2.69e-08,-8e-10,-2.77e-08
0.55,2.74e-08,-5e-10,-2.79e-08
0.6,3.16e-08,-7e-10,-3.23e-08
0.65,3.03e-08,-6e-10,-3.09e-08
0.7,3.31e-08,-6e-10,-3.37e-08
0.75,3.64e-08,-9e-10,-3.73e-08
0.8,3.61e-08,-7e-10,-3.68e-08
0.85,3.8e-08,-5e-10,-3.85e-08
0.9,3.8e-08,-5e-10,-3.85e-08
0.95,4.35e-08,-7e-10,-4.42e-08
1.0,6.02e-08,-6e-10,-6.08e-08
1.05,6.5e-08,-5e-10,-6.55e-08
1.1,6e-08,-6e-10,-6.06e-08
1.15,5.35e-08,-6e-10,-5.41e-08
1.2,5.17e-08,-6e-10,-5.23e-08
1.25,6.27e-08,-7e-10,-6.34e-08
1.3,7.08e-08,-6e-10,-7.14e-08
1.35,6.9e-08,-7e-10,-6.97e-08
