Run 1,,,,,,Run 2,,,,,,Run 3,,,,,,Run 4,,,,
Vb, Ib1,Ie, Ie,Ic1,,Vb, Ib2, Ie,Ie,Ic2,,Vb, Ib3, Ie,Ie,Ic3,,Vb, Ib4, Ie,Ie,Ic4
1.15,5.44E-05,2.04E-02,-0.02036,2.03E-02,,1.15,5.46E-05,-0.02036,2.04E-02,2.03E-02,,1.15,5.48E-05,-0.02036,2.04E-02,2.03E-02,,1.15,5.48E-05,-0.02036,2.04E-02,2.03E-02
1.2,5.47E-05,2.04E-02,-0.02036,2.03E-02,,1.2,5.49E-05,-0.02036,2.04E-02,2.03E-02,,1.2,5.51E-05,-0.02036,2.04E-02,2.03E-02,,1.2,5.51E-05,-0.02036,2.04E-02,2.03E-02
1.25,5.50E-05,2.04E-02,-0.02036,2.03E-02,,1.25,5.52E-05,-0.02036,2.04E-02,2.03E-02,,1.25,5.54E-05,-0.02036,2.04E-02,2.03E-02,,1.25,5.54E-05,-0.02036,2.04E-02,2.03E-02
1.3,5.53E-05,2.04E-02,-0.02036,2.03E-02,,1.3,5.55E-05,-0.02036,2.04E-02,2.03E-02,,1.3,5.57E-05,-0.02036,2.04E-02,2.03E-02,,1.3,5.57E-05,-0.02036,2.04E-02,2.03E-02
1.35,5.56E-05,2.04E-02,-0.02036,2.03E-02,,1.35,5.58E-05,-0.02036,2.04E-02,2.03E-02,,1.35,5.60E-05,-0.02036,2.04E-02,2.03E-02,,1.35,5.60E-05,-0.02036,2.04E-02,2.03E-02
1.4,5.60E-05,2.04E-02,-0.02036,2.03E-02,,1.4,5.61E-05,-0.02036,2.04E-02,2.03E-02,,1.4,5.64E-05,-0.02036,2.04E-02,2.03E-02,,1.4,5.63E-05,-0.02036,2.04E-02,2.03E-02
1.45,5.63E-05,2.04E-02,-0.02036,2.03E-02,,1.45,5.65E-05,-0.02036,2.04E-02,2.03E-02,,1.45,5.67E-05,-0.02036,2.04E-02,2.03E-02,,1.45,5.66E-05,-0.02036,2.04E-02,2.03E-02
1.5,5.66E-05,2.04E-02,-0.02036,2.03E-02,,1.5,5.68E-05,-0.02036,2.04E-02,2.03E-02,,1.5,5.70E-05,-0.02036,2.04E-02,2.03E-02,,1.5,5.70E-05,-0.02036,2.04E-02,2.03E-02
1.55,5.69E-05,2.04E-02,-0.02036,2.03E-02,,1.55,5.71E-05,-0.02036,2.04E-02,2.03E-02,,1.55,5.73E-05,-0.02036,2.04E-02,2.03E-02,,1.55,5.73E-05,-0.02036,2.04E-02,2.03E-02
1.6,5.72E-05,2.04E-02,-0.02036,2.03E-02,,1.6,5.74E-05,-0.02036,2.04E-02,2.03E-02,,1.6,5.76E-05,-0.02036,2.04E-02,2.03E-02,,1.6,5.76E-05,-0.02036,2.04E-02,2.03E-02
1.65,5.76E-05,2.04E-02,-0.02036,2.03E-02,,1.65,5.77E-05,-0.02036,2.04E-02,2.03E-02,,1.65,5.80E-05,-0.02036,2.04E-02,2.03E-02,,1.65,5.79E-05,-0.02036,2.04E-02,2.03E-02
1.7,5.79E-05,2.04E-02,-0.02036,2.03E-02,,1.7,5.81E-05,-0.02036,2.04E-02,2.03E-02,,1.7,5.83E-05,-0.02036,2.04E-02,2.03E-02,,1.7,5.82E-05,-0.02036,2.04E-02,2.03E-02
1.75,5.82E-05,2.04E-02,-0.02036,2.03E-02,,1.75,5.84E-05,-0.02036,2.04E-02,2.03E-02,,1.75,5.86E-05,-0.02036,2.04E-02,2.03E-02,,1.75,5.85E-05,-0.02036,2.04E-02,2.03E-02
1.8,5.85E-05,2.04E-02,-0.02036,2.03E-02,,1.8,5.87E-05,-0.02036,2.04E-02,2.03E-02,,1.8,5.89E-05,-0.02036,2.04E-02,2.03E-02,,1.8,5.89E-05,-0.02036,2.04E-02,2.03E-02
1.85,5.88E-05,2.04E-02,-0.02036,2.03E-02,,1.85,5.90E-05,-0.02036,2.04E-02,2.03E-02,,1.85,5.92E-05,-0.02036,2.04E-02,2.03E-02,,1.85,5.92E-05,-0.02036,2.04E-02,2.03E-02
1.9,5.91E-05,2.04E-02,-0.02036,2.03E-02,,1.9,5.93E-05,-0.02036,2.04E-02,2.03E-02,,1.9,5.95E-05,-0.02036,2.04E-02,2.03E-02,,1.9,5.95E-05,-0.02036,2.04E-02,2.03E-02
1.95,5.95E-05,2.04E-02,-0.02036,2.03E-02,,1.95,5.96E-05,-0.02036,2.04E-02,2.03E-02,,1.95,5.98E-05,-0.02036,2.04E-02,2.03E-02,,1.95,5.98E-05,-0.02036,2.04E-02,2.03E-02
2,5.98E-05,2.04E-02,-0.02036,2.03E-02,,2,6.00E-05,-0.02036,2.04E-02,2.03E-02,,2,6.01E-05,-0.02036,2.04E-02,2.03E-02,,2,6.01E-05,-0.02036,2.04E-02,2.03E-02
2.05,6.01E-05,2.04E-02,-0.02036,2.03E-02,,2.05,6.03E-05,-0.02036,2.04E-02,2.03E-02,,2.05,6.04E-05,-0.02036,2.04E-02,2.03E-02,,2.05,6.04E-05,-0.02036,2.04E-02,2.03E-02
2.1,6.04E-05,2.04E-02,-0.02036,2.03E-02,,2.1,6.06E-05,-0.02036,2.04E-02,2.03E-02,,2.1,6.08E-05,-0.02036,2.04E-02,2.03E-02,,2.1,6.08E-05,-0.02036,2.04E-02,2.03E-02
2.15,6.07E-05,2.04E-02,-0.02036,2.03E-02,,2.15,6.09E-05,-0.02036,2.04E-02,2.03E-02,,2.15,6.11E-05,-0.02036,2.04E-02,2.03E-02,,2.15,6.11E-05,-0.02036,2.04E-02,2.03E-02
2.2,6.11E-05,2.04E-02,-0.02036,2.03E-02,,2.2,6.13E-05,-0.02036,2.04E-02,2.03E-02,,2.2,6.14E-05,-0.02036,2.04E-02,2.03E-02,,2.2,6.14E-05,-0.02036,2.04E-02,2.03E-02
2.25,6.14E-05,2.04E-02,-0.02036,2.03E-02,,2.25,6.16E-05,-0.02036,2.04E-02,2.03E-02,,2.25,6.18E-05,-0.02036,2.04E-02,2.03E-02,,2.25,6.17E-05,-0.02036,2.04E-02,2.03E-02
2.3,6.17E-05,2.04E-02,-0.02036,2.03E-02,,2.3,6.19E-05,-0.02036,2.04E-02,2.03E-02,,2.3,6.21E-05,-0.02036,2.04E-02,2.03E-02,,2.3,6.21E-05,-0.02036,2.04E-02,2.03E-02
2.35,6.21E-05,2.04E-02,-0.02036,2.03E-02,,2.35,6.22E-05,-0.02036,2.04E-02,2.03E-02,,2.35,6.24E-05,-0.02036,2.04E-02,2.03E-02,,2.35,6.24E-05,-0.02036,2.04E-02,2.03E-02
2.4,6.24E-05,2.04E-02,-0.02036,2.03E-02,,2.4,6.26E-05,-0.02036,2.04E-02,2.03E-02,,2.4,6.28E-05,-0.02036,2.04E-02,2.03E-02,,2.4,6.27E-05,-0.02036,2.04E-02,2.03E-02
2.45,6.27E-05,2.04E-02,-0.02036,2.03E-02,,2.45,6.29E-05,-0.02036,2.04E-02,2.03E-02,,2.45,6.31E-05,-0.02036,2.04E-02,2.03E-02,,2.45,6.31E-05,-0.02036,2.04E-02,2.03E-02
2.5,6.30E-05,2.04E-02,-0.02036,2.03E-02,,2.5,6.32E-05,-0.02036,2.04E-02,2.03E-02,,2.5,6.34E-05,-0.02036,2.04E-02,2.03E-02,,2.5,6.34E-05,-0.02036,2.04E-02,2.03E-02
2.55,6.34E-05,2.04E-02,-0.02036,2.03E-02,,2.55,6.36E-05,-0.02036,2.04E-02,2.03E-02,,2.55,6.38E-05,-0.02036,2.04E-02,2.03E-02,,2.55,6.37E-05,-0.02036,2.04E-02,2.03E-02
2.6,6.37E-05,2.04E-02,-0.02036,2.03E-02,,2.6,6.39E-05,-0.02036,2.04E-02,2.03E-02,,2.6,6.41E-05,-0.02036,2.04E-02,2.03E-02,,2.6,6.41E-05,-0.02036,2.04E-02,2.03E-02
2.65,6.40E-05,2.04E-02,-0.02036,2.03E-02,,2.65,6.42E-05,-0.02036,2.04E-02,2.03E-02,,2.65,6.44E-05,-0.02036,2.04E-02,2.03E-02,,2.65,6.44E-05,-0.02036,2.04E-02,2.03E-02
2.7,6.44E-05,2.04E-02,-0.02036,2.03E-02,,2.7,6.46E-05,-0.02036,2.04E-02,2.03E-02,,2.7,6.48E-05,-0.02036,2.04E-02,2.03E-02,,2.7,6.47E-05,-0.02036,2.04E-02,2.03E-02
2.75,6.47E-05,2.04E-02,-0.02036,2.03E-02,,2.75,6.49E-05,-0.02036,2.04E-02,2.03E-02,,2.75,6.51E-05,-0.02036,2.04E-02,2.03E-02,,2.75,6.51E-05,-0.02036,2.04E-02,2.03E-02
2.8,6.51E-05,2.04E-02,-0.02036,2.03E-02,,2.8,6.53E-05,-0.02036,2.04E-02,2.03E-02,,2.8,6.55E-05,-0.02036,2.04E-02,2.03E-02,,2.8,6.55E-05,-0.02036,2.04E-02,2.03E-02
2.85,6.55E-05,2.04E-02,-0.02036,2.03E-02,,2.85,6.56E-05,-0.02036,2.04E-02,2.03E-02,,2.85,6.58E-05,-0.02036,2.04E-02,2.03E-02,,2.85,6.58E-05,-0.02036,2.04E-02,2.03E-02
2.9,6.58E-05,2.04E-02,-0.02036,2.03E-02,,2.9,6.60E-05,-0.02036,2.04E-02,2.03E-02,,2.9,6.62E-05,-0.02036,2.04E-02,2.03E-02,,2.9,6.61E-05,-0.02036,2.04E-02,2.03E-02
2.95,6.61E-05,2.04E-02,-0.02036,2.03E-02,,2.95,6.63E-05,-0.02036,2.04E-02,2.03E-02,,2.95,6.65E-05,-0.02036,2.04E-02,2.03E-02,,2.95,6.65E-05,-0.02036,2.04E-02,2.03E-02
3,6.65E-05,2.04E-02,-0.02036,2.03E-02,,3,6.67E-05,-0.02036,2.04E-02,2.03E-02,,3,6.69E-05,-0.02036,2.04E-02,2.03E-02,,3,6.69E-05,-0.02036,2.04E-02,2.03E-02
3.05,6.69E-05,2.04E-02,-0.02036,2.03E-02,,3.05,6.70E-05,-0.02036,2.04E-02,2.03E-02,,3.05,6.72E-05,-0.02036,2.04E-02,2.03E-02,,3.05,6.72E-05,-0.02036,2.04E-02,2.03E-02
3.1,6.72E-05,2.04E-02,-0.02036,2.03E-02,,3.1,6.74E-05,-0.02036,2.04E-02,2.03E-02,,3.1,6.76E-05,-0.02036,2.04E-02,2.03E-02,,3.1,6.76E-05,-0.02036,2.04E-02,2.03E-02
3.15,6.76E-05,2.04E-02,-0.02036,2.03E-02,,3.15,6.77E-05,-0.02036,2.04E-02,2.03E-02,,3.15,6.80E-05,-0.02036,2.04E-02,2.03E-02,,3.15,6.80E-05,-0.02036,2.04E-02,2.03E-02
3.2,6.79E-05,2.04E-02,-0.02036,2.03E-02,,3.2,6.81E-05,-0.02036,2.04E-02,2.03E-02,,3.2,6.83E-05,-0.02036,2.04E-02,2.03E-02,,3.2,6.83E-05,-0.02036,2.04E-02,2.03E-02
3.25,6.83E-05,2.04E-02,-0.02036,2.03E-02,,3.25,6.85E-05,-0.02036,2.04E-02,2.03E-02,,3.25,6.87E-05,-0.02036,2.04E-02,2.03E-02,,3.25,6.87E-05,-0.02036,2.04E-02,2.03E-02
3.3,6.87E-05,2.04E-02,-0.02036,2.03E-02,,3.3,6.88E-05,-0.02036,2.04E-02,2.03E-02,,3.3,6.91E-05,-0.02036,2.04E-02,2.03E-02,,3.3,6.90E-05,-0.02036,2.04E-02,2.03E-02
3.35,6.91E-05,2.04E-02,-0.02036,2.03E-02,,3.35,6.92E-05,-0.02036,2.04E-02,2.03E-02,,3.35,6.94E-05,-0.02036,2.04E-02,2.03E-02,,3.35,6.94E-05,-0.02036,2.04E-02,2.03E-02
3.4,6.94E-05,2.04E-02,-0.02036,2.03E-02,,3.4,6.96E-05,-0.02036,2.04E-02,2.03E-02,,3.4,6.98E-05,-0.02036,2.04E-02,2.03E-02,,3.4,6.98E-05,-0.02036,2.04E-02,2.03E-02
