Ix1, Iz1,Iz1,,Ix2, Iz2,Iz2,,Ix3, Iz3,Iz3
5.37E-07,-1.60E-09,1.60E-09,,5.37E-07,-2.24E-08,2.24E-08,,5.37E-07,-3.66E-07,3.66E-07
6.31E-07,-1.70E-09,1.70E-09,,6.31E-07,-2.38E-08,2.38E-08,,6.31E-07,-3.78E-07,3.78E-07
7.42E-07,-1.90E-09,1.90E-09,,7.42E-07,-2.63E-08,2.63E-08,,7.42E-07,-3.95E-07,3.95E-07
8.71E-07,-2.10E-09,2.10E-09,,8.71E-07,-2.95E-08,2.95E-08,,8.71E-07,-4.18E-07,4.18E-07
1.02E-06,-2.70E-09,2.70E-09,,1.02E-06,-3.31E-08,3.31E-08,,1.02E-06,-4.50E-07,4.50E-07
1.20E-06,-2.80E-09,2.80E-09,,1.20E-06,-3.82E-08,3.82E-08,,1.20E-06,-4.94E-07,4.94E-07
1.41E-06,-3.70E-09,3.70E-09,,1.41E-06,-4.53E-08,4.53E-08,,1.41E-06,-5.54E-07,5.54E-07
1.66E-06,-4.40E-09,4.40E-09,,1.66E-06,-5.46E-08,5.46E-08,,1.66E-06,-6.36E-07,6.36E-07
1.95E-06,-5.50E-09,5.50E-09,,1.95E-06,-6.71E-08,6.71E-08,,1.95E-06,-7.48E-07,7.48E-07
2.29E-06,-6.80E-09,6.80E-09,,2.29E-06,-8.23E-08,8.23E-08,,2.29E-06,-8.84E-07,8.84E-07
2.69E-06,-9.60E-09,9.60E-09,,2.69E-06,-1.05E-07,1.05E-07,,2.69E-06,-1.09E-06,1.09E-06
3.16E-06,-1.22E-08,1.22E-08,,3.16E-06,-1.37E-07,1.37E-07,,3.16E-06,-1.38E-06,1.38E-06
3.72E-06,-1.66E-08,1.66E-08,,3.72E-06,-1.79E-07,1.79E-07,,3.72E-06,-1.77E-06,1.77E-06
4.37E-06,-2.25E-08,2.25E-08,,4.37E-06,-2.44E-07,2.44E-07,,4.37E-06,-2.32E-06,2.32E-06
5.13E-06,-3.08E-08,3.08E-08,,5.13E-06,-3.28E-07,3.28E-07,,5.13E-06,-3.08E-06,3.08E-06
6.03E-06,-4.31E-08,4.31E-08,,6.03E-06,-4.46E-07,4.46E-07,,6.03E-06,-4.14E-06,4.14E-06
7.08E-06,-5.92E-08,5.92E-08,,7.08E-06,-6.07E-07,6.07E-07,,7.08E-06,-5.59E-06,5.59E-06
8.32E-06,-8.16E-08,8.16E-08,,8.32E-06,-8.27E-07,8.27E-07,,8.32E-06,-7.58E-06,7.58E-06
9.77E-06,-1.13E-07,1.13E-07,,9.77E-06,-1.13E-06,1.13E-06,,9.77E-06,-1.03E-05,1.03E-05
1.15E-05,-1.56E-07,1.56E-07,,1.15E-05,-1.55E-06,1.55E-06,,1.15E-05,-1.40E-05,1.40E-05
1.35E-05,-2.19E-07,2.19E-07,,1.35E-05,-2.11E-06,2.11E-06,,1.35E-05,-1.91E-05,1.91E-05
1.59E-05,-3.04E-07,3.04E-07,,1.59E-05,-2.91E-06,2.91E-06,,1.59E-05,-2.70E-05,2.70E-05
1.86E-05,-4.22E-07,4.22E-07,,1.86E-05,-4.01E-06,4.01E-06,,1.86E-05,-3.69E-05,3.69E-05
2.19E-05,-5.58E-07,5.58E-07,,2.19E-05,-5.30E-06,5.30E-06,,2.19E-05,-4.86E-05,4.86E-05
2.57E-05,-7.74E-07,7.74E-07,,2.57E-05,-7.33E-06,7.33E-06,,2.57E-05,-6.70E-05,6.70E-05
3.02E-05,-1.08E-06,1.08E-06,,3.02E-05,-1.02E-05,1.02E-05,,3.02E-05,-9.26E-05,9.26E-05
3.55E-05,-1.50E-06,1.50E-06,,3.55E-05,-1.41E-05,1.41E-05,,3.55E-05,-0.0001274,1.27E-04
4.17E-05,-2.08E-06,2.08E-06,,4.17E-05,-1.93E-05,1.93E-05,,4.17E-05,-0.0001746,1.75E-04
4.90E-05,-2.91E-06,2.91E-06,,4.90E-05,-2.76E-05,2.76E-05,,4.90E-05,-0.000241,2.41E-04
5.76E-05,-4.08E-06,4.08E-06,,5.76E-05,-3.82E-05,3.82E-05,,5.76E-05,-0.000332,3.32E-04
6.76E-05,-5.67E-06,5.67E-06,,6.76E-05,-5.28E-05,5.28E-05,,6.76E-05,-0.000453,4.53E-04
7.95E-05,-7.88E-06,7.88E-06,,7.95E-05,-7.27E-05,7.27E-05,,7.95E-05,-0.000616,6.16E-04
9.34E-05,-1.09E-05,1.09E-05,,9.34E-05,-0.0001,1.00E-04,,9.34E-05,-0.000834,8.34E-04
0.00010965,-1.51E-05,1.51E-05,,0.00010965,-0.0001378,1.38E-04,,0.00010965,-0.001124,1.12E-03
0.0001288,-2.15E-05,2.15E-05,,0.0001288,-0.0001886,1.89E-04,,0.0001288,-0.001497,1.50E-03
0.00015135,-2.97E-05,2.97E-05,,0.00015135,-0.000261,2.61E-04,,0.00015135,-0.001974,1.97E-03
0.00017785,-4.11E-05,4.11E-05,,0.00017785,-0.00036,3.60E-04,,0.00017785,-0.00262,2.62E-03
0.000209,-5.52E-05,5.52E-05,,0.000209,-0.000482,4.82E-04,,0.000209,-0.00333,3.33E-03
0.0002455,-7.66E-05,7.66E-05,,0.0002455,-0.000667,6.67E-04,,0.0002455,-0.00431,4.31E-03
0.0002885,-0.0001061,1.06E-04,,0.0002885,-0.000922,9.22E-04,,0.0002885,-0.00552,5.52E-03
0.000339,-0.0001462,1.46E-04,,0.000339,-0.001267,1.27E-03,,0.000339,-0.00696,6.96E-03
0.000398,-0.0002,2.00E-04,,0.000398,-0.001728,1.73E-03,,0.000398,-0.00866,8.66E-03
0.0004675,-0.000278,2.78E-04,,0.0004675,-0.00238,2.38E-03,,0.0004675,-0.01066,1.07E-02
0.0005495,-0.000387,3.87E-04,,0.0005495,-0.00326,3.26E-03,,0.0005495,-0.01302,1.30E-02
0.0006455,-0.000536,5.36E-04,,0.0006455,-0.00441,4.41E-03,,0.0006455,-0.01568,1.57E-02
0.0007585,-0.000741,7.41E-04,,0.0007585,-0.00591,5.91E-03,,0.0007585,-0.01867,1.87E-02
0.0008915,-0.001023,1.02E-03,,0.0008915,-0.00785,7.85E-03,,0.0008915,-0.02036,2.04E-02
0.001047,-0.00141,1.41E-03,,0.001047,-0.0103,1.03E-02,,0.001047,-0.02036,2.04E-02
0.0012305,-0.001932,1.93E-03,,0.0012305,-0.01334,1.33E-02,,0.0012305,-0.02036,2.04E-02
0.0014455,-0.00269,2.69E-03,,0.0014455,-0.01701,1.70E-02,,0.0014455,-0.02036,2.04E-02
0.001698,-0.00368,3.68E-03,,0.001698,-0.02036,2.04E-02,,0.001698,-0.02036,2.04E-02
0.0019955,-0.00502,5.02E-03,,0.0019955,-0.02036,2.04E-02,,0.0019955,-0.02036,2.04E-02
0.002345,-0.00658,6.58E-03,,0.002345,-0.02036,2.04E-02,,0.002345,-0.02036,2.04E-02
0.002755,-0.00892,8.92E-03,,0.002755,-0.02036,2.04E-02,,0.002755,-0.02036,2.04E-02
0.003235,-0.01195,1.20E-02,,0.003235,-0.02036,2.04E-02,,0.003235,-0.02036,2.04E-02
0.0038,-0.01578,1.58E-02,,0.0038,-0.02036,2.04E-02,,0.0038,-0.02036,2.04E-02
0.004465,-0.02036,2.04E-02,,0.004465,-0.02036,2.04E-02,,0.004465,-0.02036,2.04E-02
0.00525,-0.02036,2.04E-02,,0.00525,-0.02036,2.04E-02,,0.00525,-0.02036,2.04E-02
0.006165,-0.02036,2.04E-02,,0.006165,-0.02036,2.04E-02,,0.006165,-0.02036,2.04E-02
0.007245,-0.02036,2.04E-02,,0.007245,-0.02036,2.04E-02,,0.007245,-0.02036,2.04E-02
0.00851,-0.02036,2.04E-02,,0.00851,-0.02036,2.04E-02,,0.00851,-0.02036,2.04E-02
0.01,-0.02036,2.04E-02,,0.01,-0.02036,2.04E-02,,0.01,-0.02036,2.04E-02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
