30.1k,Ix1, Iz,Iz with 30.1k,Iz with 301k,Iz with 47k,Iz with 1.5M,,,301k,Iy2, Iz2,Iz2,,47k?,Ix3, Iz3,Iz3,,1.5M?,Iy4, Iz,Iz4
,1.07E-07,-0.00243,2.43E-03,3.02E-04,1.59E-03,1.18E-02,,,,1.07E-07,-0.000302,3.02E-04,,,1.07E-07,-0.001586,0.001586,,,1.07E-07,-0.0118,0.0118
,1.26E-07,-0.00243,2.43E-03,3.14E-04,1.60E-03,1.18E-02,,,,1.26E-07,-0.000314,3.14E-04,,,1.26E-07,-0.001596,0.001596,,,1.26E-07,-0.01181,0.01181
,1.48E-07,-0.00244,2.44E-03,3.29E-04,1.61E-03,1.18E-02,,,,1.48E-07,-0.000329,3.29E-04,,,1.48E-07,-0.001607,0.001607,,,1.48E-07,-0.01182,0.01182
,1.74E-07,-0.00246,2.46E-03,3.47E-04,1.62E-03,1.18E-02,,,,1.74E-07,-0.000347,3.47E-04,,,1.74E-07,-0.001621,0.001621,,,1.74E-07,-0.01183,0.01183
,2.04E-07,-0.00247,2.47E-03,3.66E-04,1.64E-03,1.18E-02,,,,2.04E-07,-0.000366,3.66E-04,,,2.04E-07,-0.001635,0.001635,,,2.04E-07,-0.01184,0.01184
,2.40E-07,-0.00249,2.49E-03,3.93E-04,1.65E-03,1.19E-02,,,,2.40E-07,-0.000393,3.93E-04,,,2.40E-07,-0.001654,0.001654,,,2.40E-07,-0.01187,0.01187
,2.82E-07,-0.00252,2.52E-03,4.26E-04,1.68E-03,1.19E-02,,,,2.82E-07,-0.000426,4.26E-04,,,2.82E-07,-0.001678,0.001678,,,2.82E-07,-0.01189,0.01189
,3.31E-07,-0.00254,2.54E-03,4.66E-04,1.71E-03,1.19E-02,,,,3.31E-07,-0.000466,4.66E-04,,,3.31E-07,-0.001705,0.001705,,,3.31E-07,-0.01191,0.01191
,3.89E-07,-0.00258,2.58E-03,5.15E-04,1.74E-03,1.19E-02,,,,3.89E-07,-0.000515,5.15E-04,,,3.89E-07,-0.001737,0.001737,,,3.89E-07,-0.01193,0.01193
,4.57E-07,-0.00261,2.61E-03,5.74E-04,1.78E-03,1.20E-02,,,,4.57E-07,-0.000574,5.74E-04,,,4.57E-07,-0.001777,0.001777,,,4.57E-07,-0.01196,0.01196
,5.37E-07,-0.00266,2.66E-03,6.48E-04,1.83E-03,1.20E-02,,,,5.37E-07,-0.000648,6.48E-04,,,5.37E-07,-0.001825,0.001825,,,5.37E-07,-0.012,0.012
,6.31E-07,-0.00272,2.72E-03,7.36E-04,1.88E-03,1.21E-02,,,,6.31E-07,-0.000736,7.36E-04,,,6.31E-07,-0.001881,0.001881,,,6.31E-07,-0.01205,0.01205
,7.42E-07,-0.00278,2.78E-03,8.41E-04,1.95E-03,1.21E-02,,,,7.42E-07,-0.000841,8.41E-04,,,7.42E-07,-0.001949,0.001949,,,7.42E-07,-0.0121,0.0121
,8.71E-07,-0.00286,2.86E-03,9.66E-04,2.03E-03,1.22E-02,,,,8.71E-07,-0.000966,9.66E-04,,,8.71E-07,-0.00203,0.00203,,,8.71E-07,-0.01216,0.01216
,1.02E-06,-0.00296,2.96E-03,1.12E-03,2.13E-03,1.22E-02,,,,1.02E-06,-0.001116,1.12E-03,,,1.02E-06,-0.00213,0.00213,,,1.02E-06,-0.01223,0.01223
,1.20E-06,-0.00308,3.08E-03,1.29E-03,2.25E-03,1.23E-02,,,,1.20E-06,-0.001294,1.29E-03,,,1.20E-06,-0.00225,0.00225,,,1.20E-06,-0.01231,0.01231
,1.41E-06,-0.00322,3.22E-03,1.50E-03,2.40E-03,1.24E-02,,,,1.41E-06,-0.001504,1.50E-03,,,1.41E-06,-0.0024,0.0024,,,1.41E-06,-0.01241,0.01241
,1.66E-06,-0.00339,3.39E-03,1.75E-03,2.58E-03,1.25E-02,,,,1.66E-06,-0.001753,1.75E-03,,,1.66E-06,-0.00258,0.00258,,,1.66E-06,-0.01253,0.01253
,1.95E-06,-0.00359,3.59E-03,2.02E-03,2.80E-03,1.27E-02,,,,1.95E-06,-0.00202,2.02E-03,,,1.95E-06,-0.0028,0.0028,,,1.95E-06,-0.01267,0.01267
,2.29E-06,-0.00382,3.82E-03,2.33E-03,3.05E-03,1.28E-02,,,,2.29E-06,-0.00233,2.33E-03,,,2.29E-06,-0.00305,0.00305,,,2.29E-06,-0.01282,0.01282
,2.69E-06,-0.00413,4.13E-03,2.73E-03,3.38E-03,1.30E-02,,,,2.69E-06,-0.00273,2.73E-03,,,2.69E-06,-0.00338,0.00338,,,2.69E-06,-0.01303,0.01303
,3.16E-06,-0.00451,4.51E-03,3.21E-03,3.80E-03,1.33E-02,,,,3.16E-06,-0.00321,3.21E-03,,,3.16E-06,-0.0038,0.0038,,,3.16E-06,-0.01326,0.01326
,3.72E-06,-0.00502,5.02E-03,3.77E-03,4.33E-03,1.36E-02,,,,3.72E-06,-0.00377,3.77E-03,,,3.72E-06,-0.00433,0.00433,,,3.72E-06,-0.01355,0.01355
,4.37E-06,-0.00559,5.59E-03,4.43E-03,4.91E-03,1.39E-02,,,,4.37E-06,-0.00443,4.43E-03,,,4.37E-06,-0.00491,0.00491,,,4.37E-06,-0.0139,0.0139
,5.13E-06,-0.00626,6.26E-03,5.21E-03,5.62E-03,1.43E-02,,,,5.13E-06,-0.00521,5.21E-03,,,5.13E-06,-0.00562,0.00562,,,5.13E-06,-0.01432,0.01432
,6.03E-06,-0.00707,7.07E-03,6.12E-03,6.47E-03,1.48E-02,,,,6.03E-06,-0.00612,6.12E-03,,,6.03E-06,-0.00647,0.00647,,,6.03E-06,-0.01482,0.01482
,7.08E-06,-0.00804,8.04E-03,7.17E-03,7.47E-03,1.54E-02,,,,7.08E-06,-0.00717,7.17E-03,,,7.08E-06,-0.00747,0.00747,,,7.08E-06,-0.01542,0.01542
,8.32E-06,-0.00921,9.21E-03,8.40E-03,8.66E-03,1.62E-02,,,,8.32E-06,-0.0084,8.40E-03,,,8.32E-06,-0.00866,0.00866,,,8.32E-06,-0.01615,0.01615
,9.77E-06,-0.01059,1.06E-02,9.84E-03,1.01E-02,1.70E-02,,,,9.77E-06,-0.00984,9.84E-03,,,9.77E-06,-0.01005,0.01005,,,9.77E-06,-0.01704,0.01704
,1.15E-05,-0.01226,1.23E-02,1.15E-02,1.17E-02,1.81E-02,,,,1.15E-05,-0.01154,1.15E-02,,,1.15E-05,-0.01171,0.01171,,,1.15E-05,-0.01813,0.01813
,1.35E-05,-0.01421,1.42E-02,1.35E-02,1.36E-02,1.95E-02,,,,1.35E-05,-0.0135,1.35E-02,,,1.35E-05,-0.01364,0.01364,,,1.35E-05,-0.01945,0.01945
,1.59E-05,-0.01651,1.65E-02,1.58E-02,1.59E-02,2.04E-02,,,,1.59E-05,-0.0158,1.58E-02,,,1.59E-05,-0.01592,0.01592,,,1.59E-05,-0.02036,0.02036
,1.86E-05,-0.01918,1.92E-02,1.84E-02,1.85E-02,2.04E-02,,,,1.86E-05,-0.01844,1.84E-02,,,1.86E-05,-0.01853,0.01853,,,1.86E-05,-0.02036,0.02036
,2.19E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,2.19E-05,-0.02036,2.04E-02,,,2.19E-05,-0.02036,0.02036,,,2.19E-05,-0.02036,0.02036
,2.57E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,2.57E-05,-0.02036,2.04E-02,,,2.57E-05,-0.02036,0.02036,,,2.57E-05,-0.02036,0.02036
,3.02E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,3.02E-05,-0.02036,2.04E-02,,,3.02E-05,-0.02036,0.02036,,,3.02E-05,-0.02036,0.02036
,3.55E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,3.55E-05,-0.02036,2.04E-02,,,3.55E-05,-0.02036,0.02036,,,3.55E-05,-0.02036,0.02036
,4.17E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,4.17E-05,-0.02036,2.04E-02,,,4.17E-05,-0.02036,0.02036,,,4.17E-05,-0.02036,0.02036
,4.90E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,4.90E-05,-0.02036,2.04E-02,,,4.90E-05,-0.02036,0.02036,,,4.90E-05,-0.02036,0.02036
,5.76E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,5.76E-05,-0.02036,2.04E-02,,,5.76E-05,-0.02036,0.02036,,,5.76E-05,-0.02036,0.02036
,6.76E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,6.76E-05,-0.02036,2.04E-02,,,6.76E-05,-0.02036,0.02036,,,6.76E-05,-0.02036,0.02036
,7.95E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,7.95E-05,-0.02036,2.04E-02,,,7.95E-05,-0.02036,0.02036,,,7.95E-05,-0.02036,0.02036
,9.34E-05,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,9.34E-05,-0.02036,2.04E-02,,,9.34E-05,-0.02036,0.02036,,,9.34E-05,-0.02036,0.02036
,0.00010965,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,0.00010965,-0.02036,2.04E-02,,,0.00010965,-0.02036,0.02036,,,0.00010965,-0.02036,0.02036
,0.0001288,-0.02036,2.04E-02,2.04E-02,2.04E-02,2.04E-02,,,,0.0001288,-0.02036,2.04E-02,,,0.0001288,-0.02036,0.02036,,,0.0001288,-0.02036,0.02036
