Vin,I1,I2,I3,I4,I1,I2,I3,I4
0.3,-7.44E-06,-3.75E-06,-1.95E-06,-1.02E-06,0.00000744,0.00000375,0.000001945,0.000001022
0.4,-9.92E-06,-4.99E-06,-2.54E-06,-1.33E-06,0.00000992,0.00000499,0.00000254,0.000001334
0.5,-1.25E-05,-6.27E-06,-3.17E-06,-1.65E-06,0.00001245,0.00000627,0.00000317,0.000001652
0.6,-1.50E-05,-7.53E-06,-3.80E-06,-1.97E-06,0.00001497,0.00000753,0.0000038,0.000001966
0.7,-1.75E-05,-8.78E-06,-4.43E-06,-2.26E-06,0.00001746,0.00000878,0.00000443,0.00000226
0.8,-1.99E-05,-1.00E-05,-5.04E-06,-2.56E-06,0.00001991,0.00001001,0.00000504,0.00000256
0.9,-2.26E-05,-1.13E-05,-5.66E-06,-2.87E-06,0.0000226,0.00001125,0.00000566,0.00000287
1,-2.51E-05,-1.25E-05,-6.29E-06,-3.18E-06,0.0000251,0.0000125,0.00000629,0.00000318
1.1,-2.76E-05,-1.38E-05,-6.92E-06,-3.49E-06,0.0000276,0.00001375,0.00000692,0.00000349
1.2,-3.01E-05,-1.50E-05,-7.54E-06,-3.81E-06,0.0000301,0.00001499,0.00000754,0.00000381
1.3,-3.26E-05,-1.62E-05,-8.16E-06,-4.12E-06,0.0000326,0.00001623,0.00000816,0.00000412
1.4,-3.51E-05,-1.75E-05,-8.78E-06,-4.43E-06,0.0000351,0.00001747,0.00000878,0.00000443
1.5,-3.76E-05,-1.87E-05,-9.40E-06,-4.74E-06,0.0000376,0.00001871,0.0000094,0.00000474
1.6,-4.02E-05,-1.99E-05,-1.00E-05,-5.05E-06,0.0000402,0.00001994,0.00001003,0.00000505
1.7,-4.26E-05,-2.14E-05,-1.07E-05,-5.36E-06,0.0000426,0.0000214,0.00001065,0.00000536
1.8,-4.51E-05,-2.26E-05,-1.13E-05,-5.67E-06,0.0000451,0.0000226,0.00001126,0.00000567
1.9,-4.76E-05,-2.38E-05,-1.19E-05,-5.98E-06,0.0000476,0.0000238,0.00001188,0.00000598
2,-5.01E-05,-2.50E-05,-1.25E-05,-6.28E-06,0.0000501,0.000025,0.00001249,0.00000628
2.1,-5.26E-05,-2.62E-05,-1.31E-05,-6.59E-06,0.0000526,0.0000262,0.0000131,0.00000659
2.2,-5.51E-05,-2.75E-05,-1.37E-05,-6.90E-06,0.0000551,0.0000275,0.00001373,0.0000069
2.3,-5.76E-05,-2.88E-05,-1.44E-05,-7.21E-06,0.0000576,0.0000288,0.00001435,0.00000721
2.4,-6.01E-05,-3.00E-05,-1.50E-05,-7.52E-06,0.0000601,0.00003,0.00001496,0.00000752
2.5,-6.26E-05,-3.12E-05,-1.56E-05,-7.83E-06,0.0000626,0.0000312,0.00001558,0.00000783
2.6,-6.51E-05,-3.25E-05,-1.62E-05,-8.14E-06,0.0000651,0.0000325,0.0000162,0.00000814
2.7,-6.76E-05,-3.37E-05,-1.68E-05,-8.45E-06,0.0000676,0.0000337,0.00001681,0.00000845
2.8,-7.01E-05,-3.50E-05,-1.74E-05,-8.76E-06,0.0000701,0.000035,0.00001743,0.00000876
