V_G, I_channel0.0,Odd,,,
2.367,0.001126,Odd,,,
2.383,0.001146,Even,4.7675,0.00515,Odd
2.4,0.001166,Odd,,,
2.417,0.001187,Even,4.8325,0.00529,Odd
2.433,0.001206,Odd,,,
2.45,0.001227,Even,4.9,0.00542,Odd
2.467,0.001248,Odd,,,
2.483,0.001268,Even,4.9675,0.00556,Odd
2.5,0.001289,Odd,,,
2.517,0.00131,Even,,,
2.533,0.00133,Odd,,,
2.55,0.001351,Even,,,
2.567,0.001373,Odd,,,
2.583,0.001394,Even,,,
2.6,0.001416,Odd,,,
2.617,0.001438,Even,,,
2.633,0.001459,Odd,,,
2.65,0.001481,Even,,,
2.667,0.001504,Odd,,,
2.683,0.001525,Even,,,
2.7,0.001548,Odd,,,
2.717,0.00157,Even,,,
2.733,0.001592,Odd,,,
2.75,0.001615,Even,,,
2.767,0.001638,Odd,,,
2.783,0.00166,Even,,,
2.8,0.001683,Odd,,,
2.817,0.001706,Even,,,
2.833,0.001729,Odd,,,
2.85,0.001753,Even,,,
2.867,0.001777,Odd,,,
2.883,0.001799,Even,,,
2.9,0.001823,Odd,,,
2.917,0.001847,Even,,,
2.933,0.00187,Odd,,,
2.95,0.001895,Even,,,
2.967,0.00192,Odd,,,
2.983,0.001943,Even,,,
3,0.001968,Odd,,,
3.017,0.001993,Even,,,
3.033,0.00203,Odd,,,
3.05,0.00205,Even,,,
3.067,0.00208,Odd,,,
3.083,0.0021,Even,,,
3.1,0.00213,Odd,,,
3.117,0.00216,Even,,,
3.133,0.00218,Odd,,,
3.15,0.00221,Even,,,
3.167,0.00223,Odd,,,
3.183,0.00226,Even,,,
3.2,0.00229,Odd,,,
3.217,0.00231,Even,,,
3.233,0.00234,Odd,,,
3.25,0.00236,Even,,,
3.267,0.00239,Odd,,,
3.283,0.00241,Even,,,
3.3,0.00244,Odd,,,
3.317,0.00247,Even,,,
3.333,0.00249,Odd,,,
3.35,0.00252,Even,,,
3.367,0.00255,Odd,,,
3.383,0.00257,Even,,,
3.4,0.0026,Odd,,,
3.417,0.00263,Even,,,
3.433,0.00265,Odd,,,
3.45,0.00268,Even,,,
3.467,0.00271,Odd,,,
3.483,0.00274,Even,,,
3.5,0.00277,Odd,,,
3.517,0.00279,Even,,,
3.533,0.00282,Odd,,,
3.55,0.00285,Even,,,
3.567,0.00287,Odd,,,
3.583,0.0029,Even,,,
3.6,0.00293,Odd,,,
3.617,0.00296,Even,,,
3.633,0.00299,Odd,,,
3.65,0.00302,Even,,,
3.667,0.00305,Odd,,,
3.683,0.00307,Even,,,
3.7,0.0031,Odd,,,
3.717,0.00313,Even,,,
