V_1, I_2
-0.5,2.054e-06
-0.495,1.5e-06
-0.49,1.38e-06
-0.485,1.36e-06
-0.48,1.34e-06
-0.475,1.34e-06
-0.47,1.33e-06
-0.465,1.32e-06
-0.46,1.32e-06
-0.455,1.32e-06
-0.45,1.31e-06
-0.445,1.31e-06
-0.44,1.31e-06
-0.435,1.31e-06
-0.43,1.31e-06
-0.425,1.31e-06
-0.42,1.3e-06
-0.415,1.31e-06
-0.41,1.31e-06
-0.405,1.31e-06
-0.4,1.3e-06
-0.395,1.31e-06
-0.39,1.3e-06
-0.385,1.31e-06
-0.38,1.3e-06
-0.375,1.31e-06
-0.37,1.3e-06
-0.365,1.3e-06
-0.36,1.31e-06
-0.355,1.29e-06
-0.35,1.31e-06
-0.345,1.3e-06
-0.34,1.3e-06
-0.335,1.3e-06
-0.33,1.3e-06
-0.325,1.3e-06
-0.32,1.3e-06
-0.315,1.3e-06
-0.31,1.3e-06
-0.305,1.3e-06
-0.3,1.31e-06
-0.295,1.3e-06
-0.29,1.3e-06
-0.285,1.3e-06
-0.28,1.3e-06
-0.275,1.3e-06
-0.27,1.3e-06
-0.265,1.3e-06
-0.26,1.3e-06
-0.255,1.3e-06
-0.25,1.3e-06
-0.245,1.3e-06
-0.24,1.29e-06
-0.235,1.3e-06
-0.23,1.3e-06
-0.225,1.3e-06
-0.22,1.3e-06
-0.215,1.29e-06
-0.21,1.29e-06
-0.205,1.3e-06
-0.2,1.29e-06
-0.195,1.29e-06
-0.19,1.3e-06
-0.185,1.29e-06
-0.18,1.3e-06
-0.175,1.3e-06
-0.17,1.29e-06
-0.165,1.29e-06
-0.16,1.29e-06
-0.155,1.28e-06
-0.15,1.28e-06
-0.145,1.28e-06
-0.14,1.28e-06
-0.135,1.27e-06
-0.13,1.26e-06
-0.125,1.26e-06
-0.12,1.25e-06
-0.115,1.25e-06
-0.11,1.25e-06
-0.105,1.23e-06
-0.1,1.22e-06
-0.095,1.21e-06
-0.09,1.2e-06
-0.085,1.18e-06
-0.08,1.17e-06
-0.075,1.15e-06
-0.07,1.14e-06
-0.065,1.11e-06
-0.06,1.09e-06
-0.055,1.06e-06
-0.05,1.04e-06
-0.045,1.01e-06
-0.04,9.8e-07
-0.035,9.27e-07
-0.03,8.9e-07
-0.025,8.55e-07
-0.02,8.13e-07
-0.015,7.78e-07
-0.01,7.38e-07
-0.005,6.98e-07
0.0,6.51e-07
0.005,6.09e-07
0.01,5.75e-07
0.015,5.38e-07
0.02,4.99e-07
0.025,4.67e-07
0.03,4.17e-07
0.035,3.9e-07
0.04,3.56e-07
0.045,3.25e-07
0.05,2.99e-07
0.055,2.68e-07
0.06,2.39e-07
0.065,2.17e-07
0.07,1.86e-07
0.075,1.7e-07
0.08,1.48e-07
0.085,1.29e-07
0.09,1.18e-07
0.095,1.04e-07
0.1,8.54e-08
0.105,7.69e-08
0.11,6.58e-08
0.115,5.75e-08
0.12,5.08e-08
0.125,4.12e-08
0.13,3.94e-08
0.135,3.11e-08
0.14,2.8e-08
0.145,2.54e-08
0.15,2.21e-08
0.155,2.2e-08
0.16,1.63e-08
0.165,1.51e-08
0.17,8.9e-09
0.175,1.08e-08
0.18,8.6e-09
0.185,8.2e-09
0.19,6.1e-09
0.195,5e-09
0.2,3.9e-09
0.205,4.2e-09
0.21,3.6e-09
0.215,2.8e-09
0.22,3.5e-09
0.225,2.1e-09
0.23,5.5e-09
0.235,5.3e-09
0.24,3.3e-09
0.245,-2e-10
0.25,1.7e-09
0.255,3.2e-09
0.26,-1e-10
0.265,2.1e-09
0.27,3.5e-09
0.275,1.2e-09
0.28,2.2e-09
0.285,4e-10
0.29,2e-09
0.295,1.4e-09
0.3,1.4e-09
0.305,1e-09
0.31,1.8e-09
0.315,-3.2e-09
0.32,1.3e-09
0.325,3e-09
0.33,8e-10
0.335,1.9e-09
0.34,1.8e-09
0.345,-1e-10
0.35,9e-10
0.355,6e-10
0.36,-1e-10
0.365,1.5e-09
0.37,5e-10
0.375,1.2e-09
0.38,1e-10
0.385,1.3e-09
0.39,2.4e-09
0.395,5e-09
0.4,-2.5e-09
0.405,2.8e-09
0.41,0.0
0.415,-4e-10
0.42,6e-10
0.425,1.7e-09
0.43,3.2e-09
0.435,7e-10
0.44,2e-10
0.445,4e-10
0.45,1.9e-09
0.455,1.7e-09
0.46,1.9e-09
0.465,4e-10
0.47,-1.9e-09
0.475,2.7e-09
0.48,1.5e-09
0.485,-2.1e-09
0.49,-5e-10
0.495,2.7e-09
0.5,-1.1e-09
