V_1, I_2
-0.5,2.054e-06
-0.495,1.5e-06
-0.49,1.32e-06
-0.485,1.29e-06
-0.48,1.28e-06
-0.475,1.27e-06
-0.47,1.26e-06
-0.465,1.26e-06
-0.46,1.25e-06
-0.455,1.25e-06
-0.45,1.25e-06
-0.445,1.25e-06
-0.44,1.25e-06
-0.435,1.25e-06
-0.43,1.24e-06
-0.425,1.24e-06
-0.42,1.23e-06
-0.415,1.24e-06
-0.41,1.24e-06
-0.405,1.24e-06
-0.4,1.23e-06
-0.395,1.24e-06
-0.39,1.23e-06
-0.385,1.24e-06
-0.38,1.23e-06
-0.375,1.24e-06
-0.37,1.24e-06
-0.365,1.24e-06
-0.36,1.24e-06
-0.355,1.24e-06
-0.35,1.23e-06
-0.345,1.23e-06
-0.34,1.24e-06
-0.335,1.23e-06
-0.33,1.24e-06
-0.325,1.23e-06
-0.32,1.24e-06
-0.315,1.24e-06
-0.31,1.23e-06
-0.305,1.23e-06
-0.3,1.24e-06
-0.295,1.23e-06
-0.29,1.23e-06
-0.285,1.23e-06
-0.28,1.23e-06
-0.275,1.23e-06
-0.27,1.23e-06
-0.265,1.23e-06
-0.26,1.23e-06
-0.255,1.23e-06
-0.25,1.23e-06
-0.245,1.24e-06
-0.24,1.23e-06
-0.235,1.23e-06
-0.23,1.23e-06
-0.225,1.23e-06
-0.22,1.23e-06
-0.215,1.22e-06
-0.21,1.23e-06
-0.205,1.23e-06
-0.2,1.23e-06
-0.195,1.23e-06
-0.19,1.22e-06
-0.185,1.22e-06
-0.18,1.23e-06
-0.175,1.22e-06
-0.17,1.22e-06
-0.165,1.22e-06
-0.16,1.21e-06
-0.155,1.22e-06
-0.15,1.21e-06
-0.145,1.21e-06
-0.14,1.2e-06
-0.135,1.2e-06
-0.13,1.2e-06
-0.125,1.19e-06
-0.12,1.18e-06
-0.115,1.18e-06
-0.11,1.17e-06
-0.105,1.15e-06
-0.1,1.15e-06
-0.095,1.14e-06
-0.09,1.13e-06
-0.085,1.11e-06
-0.08,1.09e-06
-0.075,1.08e-06
-0.07,1.06e-06
-0.065,1.04e-06
-0.06,1.02e-06
-0.055,1e-06
-0.05,9.56e-07
-0.045,9.26e-07
-0.04,8.94e-07
-0.035,8.63e-07
-0.03,8.3e-07
-0.025,7.99e-07
-0.02,7.61e-07
-0.015,7.32e-07
-0.01,6.89e-07
-0.005,6.55e-07
0.0,6.09e-07
0.005,5.77e-07
0.01,5.43e-07
0.015,5.08e-07
0.02,4.74e-07
0.025,4.43e-07
0.03,4.09e-07
0.035,3.73e-07
0.04,3.44e-07
0.045,3.14e-07
0.05,2.84e-07
0.055,2.59e-07
0.06,2.32e-07
0.065,2.12e-07
0.07,1.93e-07
0.075,1.7e-07
0.08,1.48e-07
0.085,1.35e-07
0.09,1.17e-07
0.095,1.03e-07
0.1,9.04e-08
0.105,7.82e-08
0.11,6.71e-08
0.115,6.23e-08
0.12,5.39e-08
0.125,4.95e-08
0.13,3.9e-08
0.135,3.66e-08
0.14,3.04e-08
0.145,2.73e-08
0.15,2.45e-08
0.155,1.99e-08
0.16,1.86e-08
0.165,1.72e-08
0.17,1.86e-08
0.175,9.3e-09
0.18,9.3e-09
0.185,6.2e-09
0.19,1.11e-08
0.195,1e-08
0.2,7.4e-09
0.205,5.3e-09
0.21,7.1e-09
0.215,4.9e-09
0.22,3.2e-09
0.225,3.7e-09
0.23,3.5e-09
0.235,-6e-10
0.24,4e-10
0.245,4e-10
0.25,1.9e-09
0.255,4e-10
0.26,2.2e-09
0.265,2.6e-09
0.27,1e-09
0.275,2e-09
0.28,6e-10
0.285,-3e-10
0.29,1.5e-09
0.295,1e-10
0.3,2.5e-09
0.305,4e-09
0.31,2.4e-09
0.315,2.2e-09
0.32,2.8e-09
0.325,-1.3e-09
0.33,6e-10
0.335,1.2e-09
0.34,9e-10
0.345,2.4e-09
0.35,-3e-10
0.355,5e-10
0.36,2.3e-09
0.365,1.1e-09
0.37,-1e-10
0.375,-1.1e-09
0.38,2e-09
0.385,-4e-10
0.39,1.3e-09
0.395,-8e-10
0.4,2.9e-09
0.405,2.2e-09
0.41,-3e-10
0.415,-8e-10
0.42,-5e-10
0.425,1.2e-09
0.43,1.1e-09
0.435,1.1e-09
0.44,8e-10
0.445,7e-10
0.45,2.9e-09
0.455,-1.6e-09
0.46,1.4e-09
0.465,-2.8e-09
0.47,8e-10
0.475,1e-10
0.48,-8e-10
0.485,1.4e-09
0.49,6e-10
0.495,-1.7e-09
0.5,-1.6e-09
