V_1, V
-0.5,1.044
-0.495,1.045
-0.49,1.045
-0.485,1.045
-0.48,1.045
-0.475,1.045
-0.47,1.045
-0.465,1.045
-0.46,1.045
-0.455,1.045
-0.45,1.045
-0.445,1.045
-0.44,1.045
-0.435,1.045
-0.43,1.045
-0.425,1.045
-0.42,1.045
-0.415,1.045
-0.41,1.045
-0.405,1.045
-0.4,1.045
-0.395,1.045
-0.39,1.045
-0.385,1.045
-0.38,1.045
-0.375,1.045
-0.37,1.045
-0.365,1.045
-0.36,1.045
-0.355,1.045
-0.35,1.045
-0.345,1.045
-0.34,1.045
-0.335,1.045
-0.33,1.045
-0.325,1.045
-0.32,1.045
-0.315,1.045
-0.31,1.045
-0.305,1.045
-0.3,1.045
-0.295,1.045
-0.29,1.045
-0.285,1.045
-0.28,1.045
-0.275,1.045
-0.27,1.045
-0.265,1.045
-0.26,1.045
-0.255,1.045
-0.25,1.045
-0.245,1.045
-0.24,1.045
-0.235,1.045
-0.23,1.045
-0.225,1.045
-0.22,1.045
-0.215,1.045
-0.21,1.045
-0.205,1.045
-0.2,1.045
-0.195,1.045
-0.19,1.045
-0.185,1.045
-0.18,1.045
-0.175,1.045
-0.17,1.045
-0.165,1.045
-0.16,1.046
-0.155,1.046
-0.15,1.046
-0.145,1.046
-0.14,1.046
-0.135,1.046
-0.13,1.046
-0.125,1.046
-0.12,1.047
-0.115,1.047
-0.11,1.047
-0.105,1.047
-0.1,1.048
-0.095,1.048
-0.09,1.048
-0.085,1.049
-0.08,1.049
-0.075,1.05
-0.07,1.051
-0.065,1.051
-0.06,1.052
-0.055,1.053
-0.05,1.054
-0.045,1.055
-0.04,1.056
-0.035,1.057
-0.03,1.059
-0.025,1.06
-0.02,1.061
-0.015,1.063
-0.01,1.065
-0.005,1.067
0.0,1.069
0.005,1.071
0.01,1.072
0.015,1.075
0.02,1.077
0.025,1.079
0.03,1.082
0.035,1.084
0.04,1.087
0.045,1.09
0.05,1.092
0.055,1.095
0.06,1.098
0.065,1.101
0.07,1.105
0.075,1.108
0.08,1.111
0.085,1.115
0.09,1.118
0.095,1.122
0.1,1.125
0.105,1.129
0.11,1.133
0.115,1.136
0.12,1.14
0.125,1.144
0.13,1.148
0.135,1.152
0.14,1.156
0.145,1.159
0.15,1.163
0.155,1.167
0.16,1.17
0.165,1.174
0.17,1.178
0.175,1.182
0.18,1.185
0.185,1.189
0.19,1.193
0.195,1.197
0.2,1.201
0.205,1.205
0.21,1.209
0.215,1.213
0.22,1.217
0.225,1.221
0.23,1.225
0.235,1.229
0.24,1.233
0.245,1.237
0.25,1.241
0.255,1.245
0.26,1.249
0.265,1.253
0.27,1.257
0.275,1.261
0.28,1.264
0.285,1.268
0.29,1.272
0.295,1.276
0.3,1.28
0.305,1.284
0.31,1.288
0.315,1.291
0.32,1.295
0.325,1.299
0.33,1.304
0.335,1.308
0.34,1.312
0.345,1.316
0.35,1.32
0.355,1.324
0.36,1.328
0.365,1.332
0.37,1.336
0.375,1.34
0.38,1.344
0.385,1.348
0.39,1.352
0.395,1.356
0.4,1.36
0.405,1.363
0.41,1.367
0.415,1.372
0.42,1.375
0.425,1.38
0.43,1.383
0.435,1.387
0.44,1.391
0.445,1.395
0.45,1.399
0.455,1.403
0.46,1.407
0.465,1.411
0.47,1.415
0.475,1.419
0.48,1.423
0.485,1.427
0.49,1.431
0.495,1.435
0.5,1.44
