V_1, V
-0.5,2.051
-0.495,2.646
-0.49,2.646
-0.485,2.646
-0.48,2.646
-0.475,2.646
-0.47,2.646
-0.465,2.646
-0.46,2.646
-0.455,2.646
-0.45,2.646
-0.445,2.646
-0.44,2.646
-0.435,2.646
-0.43,2.646
-0.425,2.646
-0.42,2.646
-0.415,2.646
-0.41,2.646
-0.405,2.646
-0.4,2.646
-0.395,2.646
-0.39,2.646
-0.385,2.646
-0.38,2.646
-0.375,2.646
-0.37,2.646
-0.365,2.646
-0.36,2.646
-0.355,2.646
-0.35,2.646
-0.345,2.646
-0.34,2.646
-0.335,2.646
-0.33,2.646
-0.325,2.646
-0.32,2.646
-0.315,2.646
-0.31,2.646
-0.305,2.646
-0.3,2.646
-0.295,2.646
-0.29,2.646
-0.285,2.646
-0.28,2.646
-0.275,2.646
-0.27,2.646
-0.265,2.646
-0.26,2.646
-0.255,2.646
-0.25,2.646
-0.245,2.646
-0.24,2.646
-0.235,2.646
-0.23,2.646
-0.225,2.646
-0.22,2.646
-0.215,2.646
-0.21,2.646
-0.205,2.646
-0.2,2.646
-0.195,2.646
-0.19,2.646
-0.185,2.646
-0.18,2.646
-0.175,2.646
-0.17,2.646
-0.165,2.646
-0.16,2.646
-0.155,2.646
-0.15,2.646
-0.145,2.646
-0.14,2.646
-0.135,2.648
-0.13,2.648
-0.125,2.648
-0.12,2.648
-0.115,2.648
-0.11,2.648
-0.105,2.648
-0.1,2.648
-0.095,2.648
-0.09,2.65
-0.085,2.65
-0.08,2.65
-0.075,2.65
-0.07,2.65
-0.065,2.652
-0.06,2.652
-0.055,2.654
-0.05,2.654
-0.045,2.656
-0.04,2.656
-0.035,2.658
-0.03,2.66
-0.025,2.662
-0.02,2.662
-0.015,2.664
-0.01,2.666
-0.005,2.668
0.0,2.67
0.005,2.672
0.01,2.674
0.015,2.676
0.02,2.68
0.025,2.682
0.03,2.684
0.035,2.686
0.04,2.69
0.045,2.692
0.05,2.696
0.055,2.698
0.06,2.702
0.065,2.704
0.07,2.708
0.075,2.712
0.08,2.716
0.085,2.72
0.09,2.724
0.095,2.728
0.1,2.73
0.105,2.734
0.11,2.738
0.115,2.742
0.12,2.746
0.125,2.75
0.13,2.754
0.135,2.76
0.14,2.762
0.145,2.766
0.15,2.77
0.155,2.774
0.16,2.778
0.165,2.782
0.17,2.786
0.175,2.79
0.18,2.794
0.185,2.798
0.19,2.802
0.195,2.808
0.2,2.812
0.205,2.816
0.21,2.82
0.215,2.824
0.22,2.828
0.225,2.832
0.23,2.838
0.235,2.842
0.24,2.846
0.245,2.85
0.25,2.854
0.255,2.858
0.26,2.862
0.265,2.866
0.27,2.87
0.275,2.874
0.28,2.88
0.285,2.884
0.29,2.888
0.295,2.89
0.3,2.896
0.305,2.9
0.31,2.904
0.315,2.908
0.32,2.912
0.325,2.916
0.33,2.92
0.335,2.924
0.34,2.928
0.345,2.934
0.35,2.938
0.355,2.942
0.36,2.946
0.365,2.95
0.37,2.954
0.375,2.96
0.38,2.964
0.385,2.968
0.39,2.972
0.395,2.976
0.4,2.98
0.405,2.984
0.41,2.988
0.415,2.992
0.42,2.996
0.425,3.0
0.43,3.004
0.435,3.008
0.44,3.012
0.445,3.018
0.45,3.02
0.455,3.026
0.46,3.03
0.465,3.034
0.47,3.038
0.475,3.042
0.48,3.046
0.485,3.05
0.49,3.056
0.495,3.06
0.5,3.064
