V_1, I_1
-0.5,1.04e-07
-0.495,7.29e-08
-0.49,5.92e-08
-0.485,4.95e-08
-0.48,3.99e-08
-0.475,3.93e-08
-0.47,2.9e-08
-0.465,2.85e-08
-0.46,2.46e-08
-0.455,2.08e-08
-0.45,2.3e-08
-0.445,1.68e-08
-0.44,1.9e-08
-0.435,2.1e-08
-0.43,1.74e-08
-0.425,1.68e-08
-0.42,1.54e-08
-0.415,1.5e-08
-0.41,1.22e-08
-0.405,1.31e-08
-0.4,1.44e-08
-0.395,1.15e-08
-0.39,1.11e-08
-0.385,5.9e-09
-0.38,9.1e-09
-0.375,1.03e-08
-0.37,9.2e-09
-0.365,1.05e-08
-0.36,4.2e-09
-0.355,6.9e-09
-0.35,6.8e-09
-0.345,8.3e-09
-0.34,7.7e-09
-0.335,5.9e-09
-0.33,5.1e-09
-0.325,6e-09
-0.32,5.6e-09
-0.315,6.2e-09
-0.31,5.6e-09
-0.305,6.3e-09
-0.3,5.6e-09
-0.295,8.8e-09
-0.29,7.7e-09
-0.285,8.5e-09
-0.28,4.4e-09
-0.275,5.6e-09
-0.27,9.5e-09
-0.265,5.2e-09
-0.26,3.9e-09
-0.255,6e-09
-0.25,5.1e-09
-0.245,6.4e-09
-0.24,6.5e-09
-0.235,4.1e-09
-0.23,7.3e-09
-0.225,6.7e-09
-0.22,7.8e-09
-0.215,5.1e-09
-0.21,8.5e-09
-0.205,5.4e-09
-0.2,7.5e-09
-0.195,1.01e-08
-0.19,1.03e-08
-0.185,9.7e-09
-0.18,1.38e-08
-0.175,1.53e-08
-0.17,1.36e-08
-0.165,1.55e-08
-0.16,2.12e-08
-0.155,1.9e-08
-0.15,2.03e-08
-0.145,2.7e-08
-0.14,2.91e-08
-0.135,3.35e-08
-0.13,3.72e-08
-0.125,4.27e-08
-0.12,4.94e-08
-0.115,5.55e-08
-0.11,6.38e-08
-0.105,6.99e-08
-0.1,8.21e-08
-0.095,8.74e-08
-0.09,1.054e-07
-0.085,1.2e-07
-0.08,1.338e-07
-0.075,1.502e-07
-0.07,1.678e-07
-0.065,1.881e-07
-0.06,2.049e-07
-0.055,2.4e-07
-0.05,2.67e-07
-0.045,2.95e-07
-0.04,3.23e-07
-0.035,3.58e-07
-0.03,3.94e-07
-0.025,4.28e-07
-0.02,4.67e-07
-0.015,5.06e-07
-0.01,5.41e-07
-0.005,5.8e-07
0.0,6.23e-07
0.005,6.66e-07
0.01,7.04e-07
0.015,7.36e-07
0.02,7.76e-07
0.025,8.08e-07
0.03,8.44e-07
0.035,8.77e-07
0.04,9.17e-07
0.045,9.41e-07
0.05,9.67e-07
0.055,9.99e-07
0.06,1.027e-06
0.065,1.048e-06
0.07,1.076e-06
0.075,1.096e-06
0.08,1.116e-06
0.085,1.129e-06
0.09,1.147e-06
0.095,1.159e-06
0.1,1.172e-06
0.105,1.189e-06
0.11,1.197e-06
0.115,1.201e-06
0.12,1.215e-06
0.125,1.219e-06
0.13,1.219e-06
0.135,1.227e-06
0.14,1.235e-06
0.145,1.238e-06
0.15,1.238e-06
0.155,1.246e-06
0.16,1.247e-06
0.165,1.249e-06
0.17,1.251e-06
0.175,1.25e-06
0.18,1.25e-06
0.185,1.253e-06
0.19,1.258e-06
0.195,1.257e-06
0.2,1.256e-06
0.205,1.259e-06
0.21,1.257e-06
0.215,1.255e-06
0.22,1.262e-06
0.225,1.253e-06
0.23,1.265e-06
0.235,1.263e-06
0.24,1.265e-06
0.245,1.255e-06
0.25,1.262e-06
0.255,1.266e-06
0.26,1.258e-06
0.265,1.264e-06
0.27,1.263e-06
0.275,1.264e-06
0.28,1.263e-06
0.285,1.258e-06
0.29,1.263e-06
0.295,1.268e-06
0.3,1.262e-06
0.305,1.263e-06
0.31,1.262e-06
0.315,1.262e-06
0.32,1.255e-06
0.325,1.265e-06
0.33,1.263e-06
0.335,1.267e-06
0.34,1.264e-06
0.345,1.266e-06
0.35,1.262e-06
0.355,1.265e-06
0.36,1.265e-06
0.365,1.26e-06
0.37,1.268e-06
0.375,1.256e-06
0.38,1.262e-06
0.385,1.265e-06
0.39,1.266e-06
0.395,1.263e-06
0.4,1.267e-06
0.405,1.264e-06
0.41,1.262e-06
0.415,1.267e-06
0.42,1.264e-06
0.425,1.265e-06
0.43,1.263e-06
0.435,1.266e-06
0.44,1.264e-06
0.445,1.266e-06
0.45,1.262e-06
0.455,1.265e-06
0.46,1.268e-06
0.465,1.267e-06
0.47,1.271e-06
0.475,1.265e-06
0.48,1.27e-06
0.485,1.267e-06
0.49,1.266e-06
0.495,1.271e-06
0.5,1.264e-06
