V_1, I_1
-1.0,2.049e-07
-0.99,3e-07
-0.98,7.84e-08
-0.97,5.89e-08
-0.96,4.41e-08
-0.95,3.52e-08
-0.94,2.61e-08
-0.93,2.88e-08
-0.92,2.49e-08
-0.91,2e-08
-0.9,2.16e-08
-0.89,1.39e-08
-0.88,1.5e-08
-0.87,1.68e-08
-0.86,1.49e-08
-0.85,1.57e-08
-0.84,1.18e-08
-0.83,1.38e-08
-0.82,1.26e-08
-0.81,1.68e-08
-0.8,1.87e-08
-0.79,2.31e-08
-0.78,2.45e-08
-0.77,3.16e-08
-0.76,3.34e-08
-0.75,4.16e-08
-0.74,5.66e-08
-0.73,7.36e-08
-0.72,9.42e-08
-0.71,1.245e-07
-0.7,1.628e-07
-0.69,2.049e-07
-0.68,2.83e-07
-0.67,3.72e-07
-0.66,4.79e-07
-0.65,6.11e-07
-0.64,7.83e-07
-0.63,9.82e-07
-0.62,1.215e-06
-0.61,1.486e-06
-0.6,1.81e-06
-0.59,2.054e-06
-0.58,2.6e-06
-0.57,3.07e-06
-0.56,3.61e-06
-0.55,4.19e-06
-0.54,4.83e-06
-0.53,5.52e-06
-0.52,6.28e-06
-0.51,7.08e-06
-0.5,7.91e-06
-0.49,8.78e-06
-0.48,9.71e-06
-0.47,1.067e-05
-0.46,1.169e-05
-0.45,1.275e-05
-0.44,1.389e-05
-0.43,1.507e-05
-0.42,1.63e-05
-0.41,1.758e-05
-0.4,1.889e-05
-0.39,2.023e-05
-0.38,2.18e-05
-0.37,2.31e-05
-0.36,2.46e-05
-0.35,2.6e-05
-0.34,2.74e-05
-0.33,2.89e-05
-0.32,3.04e-05
-0.31,3.2e-05
-0.3,3.37e-05
-0.29,3.53e-05
-0.28,3.7e-05
-0.27,3.88e-05
-0.26,4.05e-05
-0.25,4.23e-05
-0.24,4.4e-05
-0.23,4.57e-05
-0.22,4.75e-05
-0.21,4.93e-05
-0.2,5.11e-05
-0.19,5.29e-05
-0.18,5.48e-05
-0.17,5.67e-05
-0.16,5.86e-05
-0.15,6.05e-05
-0.14,6.24e-05
-0.13,6.44e-05
-0.12,6.63e-05
-0.11,6.82e-05
-0.1,7.01e-05
-0.09,7.2e-05
-0.08,7.39e-05
-0.07,7.58e-05
-0.06,7.78e-05
-0.05,7.98e-05
-0.04,8.19e-05
-0.03,8.4e-05
-0.02,8.6e-05
-0.01,8.81e-05
0.0,9.02e-05
0.01,9.21e-05
0.02,9.41e-05
0.03,9.61e-05
0.04,9.8e-05
0.05,0.0001
0.06,0.0001019
0.07,0.0001039
0.08,0.0001059
0.09,0.0001079
0.1,0.00011
0.11,0.000112
0.12,0.000114
0.13,0.0001159
0.14,0.0001178
0.15,0.0001197
0.16,0.0001216
0.17,0.0001234
0.18,0.0001253
0.19,0.0001271
0.2,0.0001289
0.21,0.0001308
0.22,0.0001327
0.23,0.0001345
0.24,0.0001364
0.25,0.0001382
0.26,0.0001399
0.27,0.0001416
0.28,0.0001433
0.29,0.0001449
0.3,0.0001466
0.31,0.0001482
0.32,0.0001497
0.33,0.0001514
0.34,0.0001529
0.35,0.0001545
0.36,0.0001561
0.37,0.0001575
0.38,0.000159
0.39,0.0001604
0.4,0.0001617
0.41,0.000163
0.42,0.0001642
0.43,0.0001654
0.44,0.0001666
0.45,0.0001678
0.46,0.0001689
0.47,0.00017
0.48,0.0001711
0.49,0.0001721
0.5,0.000173
0.51,0.0001739
0.52,0.0001748
0.53,0.0001755
0.54,0.0001762
0.55,0.0001769
0.56,0.0001775
0.57,0.0001781
0.58,0.0001786
0.59,0.0001791
0.6,0.0001795
0.61,0.0001799
0.62,0.0001802
0.63,0.0001805
0.64,0.0001807
0.65,0.0001809
0.66,0.0001811
0.67,0.0001812
0.68,0.0001814
0.69,0.0001815
0.7,0.0001815
0.71,0.0001816
0.72,0.0001817
0.73,0.0001817
0.74,0.0001818
0.75,0.0001818
0.76,0.0001819
0.77,0.0001819
0.78,0.0001819
0.79,0.000182
0.8,0.000182
0.81,0.000182
0.82,0.000182
0.83,0.0001821
0.84,0.0001821
0.85,0.0001821
0.86,0.0001822
0.87,0.0001822
0.88,0.0001822
0.89,0.0001822
0.9,0.0001823
0.91,0.0001823
0.92,0.0001823
0.93,0.0001823
0.94,0.0001824
0.95,0.0001824
0.96,0.0001824
0.97,0.0001825
0.98,0.0001825
0.99,0.0001825
1.0,0.0001825
