V_1, I_1
-0.5,2.054e-06
-0.495,3e-07
-0.49,7.04e-08
-0.485,4.99e-08
-0.48,3.96e-08
-0.475,3.69e-08
-0.47,2.5e-08
-0.465,2.2e-08
-0.46,2.12e-08
-0.455,1.49e-08
-0.45,1.83e-08
-0.445,1.71e-08
-0.44,1.36e-08
-0.435,1.25e-08
-0.43,1.26e-08
-0.425,1e-08
-0.42,1.43e-08
-0.415,7.7e-09
-0.41,1.47e-08
-0.405,7.7e-09
-0.4,1.15e-08
-0.395,6.4e-09
-0.39,8e-09
-0.385,5.8e-09
-0.38,5.5e-09
-0.375,7.3e-09
-0.37,5.3e-09
-0.365,3.8e-09
-0.36,7.5e-09
-0.355,7.5e-09
-0.35,5.5e-09
-0.345,4.9e-09
-0.34,3.5e-09
-0.335,7.8e-09
-0.33,4.2e-09
-0.325,6.9e-09
-0.32,5.9e-09
-0.315,3.7e-09
-0.31,2.1e-09
-0.305,4.7e-09
-0.3,4.8e-09
-0.295,2.5e-09
-0.29,4e-09
-0.285,1.6e-09
-0.28,3.3e-09
-0.275,2.8e-09
-0.27,3.9e-09
-0.265,3.2e-09
-0.26,3.3e-09
-0.255,1.1e-09
-0.25,5.4e-09
-0.245,2e-09
-0.24,8.7e-09
-0.235,1.9e-09
-0.23,5.5e-09
-0.225,6.2e-09
-0.22,4.6e-09
-0.215,5.4e-09
-0.21,5e-09
-0.205,7e-09
-0.2,3.8e-09
-0.195,1.07e-08
-0.19,1.08e-08
-0.185,1.43e-08
-0.18,1.05e-08
-0.175,1.26e-08
-0.17,1.58e-08
-0.165,1.61e-08
-0.16,1.88e-08
-0.155,2.05e-08
-0.15,2.19e-08
-0.145,2.44e-08
-0.14,3.18e-08
-0.135,3.31e-08
-0.13,3.49e-08
-0.125,4.52e-08
-0.12,5.11e-08
-0.115,5.96e-08
-0.11,6.51e-08
-0.105,7.57e-08
-0.1,8.09e-08
-0.095,9.5e-08
-0.09,1.055e-07
-0.085,1.212e-07
-0.08,1.375e-07
-0.075,1.53e-07
-0.07,1.669e-07
-0.065,1.899e-07
-0.06,2.049e-07
-0.055,2.44e-07
-0.05,2.6e-07
-0.045,2.99e-07
-0.04,3.21e-07
-0.035,3.49e-07
-0.03,3.82e-07
-0.025,4.19e-07
-0.02,4.55e-07
-0.015,4.86e-07
-0.01,5.27e-07
-0.005,5.63e-07
0.0,6.03e-07
0.005,6.39e-07
0.01,6.77e-07
0.015,7.12e-07
0.02,7.42e-07
0.025,7.78e-07
0.03,8.1e-07
0.035,8.45e-07
0.04,8.63e-07
0.045,9.05e-07
0.05,9.33e-07
0.055,9.57e-07
0.06,9.79e-07
0.065,1.005e-06
0.07,1.028e-06
0.075,1.045e-06
0.08,1.065e-06
0.085,1.078e-06
0.09,1.097e-06
0.095,1.113e-06
0.1,1.126e-06
0.105,1.136e-06
0.11,1.147e-06
0.115,1.156e-06
0.12,1.165e-06
0.125,1.172e-06
0.13,1.177e-06
0.135,1.184e-06
0.14,1.185e-06
0.145,1.192e-06
0.15,1.193e-06
0.155,1.196e-06
0.16,1.199e-06
0.165,1.201e-06
0.17,1.209e-06
0.175,1.205e-06
0.18,1.203e-06
0.185,1.205e-06
0.19,1.207e-06
0.195,1.22e-06
0.2,1.213e-06
0.205,1.217e-06
0.21,1.214e-06
0.215,1.222e-06
0.22,1.219e-06
0.225,1.219e-06
0.23,1.223e-06
0.235,1.215e-06
0.24,1.217e-06
0.245,1.217e-06
0.25,1.215e-06
0.255,1.217e-06
0.26,1.22e-06
0.265,1.223e-06
0.27,1.219e-06
0.275,1.216e-06
0.28,1.217e-06
0.285,1.214e-06
0.29,1.217e-06
0.295,1.219e-06
0.3,1.22e-06
0.305,1.215e-06
0.31,1.22e-06
0.315,1.219e-06
0.32,1.22e-06
0.325,1.218e-06
0.33,1.225e-06
0.335,1.218e-06
0.34,1.224e-06
0.345,1.223e-06
0.35,1.219e-06
0.355,1.216e-06
0.36,1.22e-06
0.365,1.223e-06
0.37,1.218e-06
0.375,1.231e-06
0.38,1.223e-06
0.385,1.221e-06
0.39,1.227e-06
0.395,1.221e-06
0.4,1.225e-06
0.405,1.22e-06
0.41,1.219e-06
0.415,1.224e-06
0.42,1.227e-06
0.425,1.221e-06
0.43,1.224e-06
0.435,1.225e-06
0.44,1.225e-06
0.445,1.224e-06
0.45,1.226e-06
0.455,1.221e-06
0.46,1.228e-06
0.465,1.224e-06
0.47,1.226e-06
0.475,1.221e-06
0.48,1.223e-06
0.485,1.229e-06
0.49,1.232e-06
0.495,1.231e-06
0.5,1.223e-06
