V_1, I_2
-0.5,2.054e-06
-0.495,1.5e-06
-0.49,1.35e-06
-0.485,1.34e-06
-0.48,1.32e-06
-0.475,1.31e-06
-0.47,1.3e-06
-0.465,1.3e-06
-0.46,1.3e-06
-0.455,1.29e-06
-0.45,1.29e-06
-0.445,1.3e-06
-0.44,1.28e-06
-0.435,1.28e-06
-0.43,1.29e-06
-0.425,1.28e-06
-0.42,1.28e-06
-0.415,1.28e-06
-0.41,1.28e-06
-0.405,1.28e-06
-0.4,1.28e-06
-0.395,1.28e-06
-0.39,1.28e-06
-0.385,1.28e-06
-0.38,1.28e-06
-0.375,1.28e-06
-0.37,1.28e-06
-0.365,1.28e-06
-0.36,1.27e-06
-0.355,1.28e-06
-0.35,1.28e-06
-0.345,1.28e-06
-0.34,1.28e-06
-0.335,1.27e-06
-0.33,1.28e-06
-0.325,1.27e-06
-0.32,1.28e-06
-0.315,1.28e-06
-0.31,1.27e-06
-0.305,1.28e-06
-0.3,1.28e-06
-0.295,1.27e-06
-0.29,1.27e-06
-0.285,1.27e-06
-0.28,1.28e-06
-0.275,1.27e-06
-0.27,1.27e-06
-0.265,1.27e-06
-0.26,1.27e-06
-0.255,1.27e-06
-0.25,1.27e-06
-0.245,1.28e-06
-0.24,1.28e-06
-0.235,1.27e-06
-0.23,1.27e-06
-0.225,1.27e-06
-0.22,1.27e-06
-0.215,1.27e-06
-0.21,1.27e-06
-0.205,1.27e-06
-0.2,1.27e-06
-0.195,1.27e-06
-0.19,1.28e-06
-0.185,1.27e-06
-0.18,1.26e-06
-0.175,1.27e-06
-0.17,1.26e-06
-0.165,1.26e-06
-0.16,1.25e-06
-0.155,1.26e-06
-0.15,1.25e-06
-0.145,1.25e-06
-0.14,1.25e-06
-0.135,1.25e-06
-0.13,1.24e-06
-0.125,1.23e-06
-0.12,1.23e-06
-0.115,1.22e-06
-0.11,1.21e-06
-0.105,1.2e-06
-0.1,1.2e-06
-0.095,1.19e-06
-0.09,1.17e-06
-0.085,1.16e-06
-0.08,1.15e-06
-0.075,1.13e-06
-0.07,1.11e-06
-0.065,1.09e-06
-0.06,1.07e-06
-0.055,1.04e-06
-0.05,1.01e-06
-0.045,9.8e-07
-0.04,9.31e-07
-0.035,9.04e-07
-0.03,8.7e-07
-0.025,8.29e-07
-0.02,8e-07
-0.015,7.53e-07
-0.01,7.16e-07
-0.005,6.74e-07
0.0,6.35e-07
0.005,6.03e-07
0.01,5.59e-07
0.015,5.24e-07
0.02,4.89e-07
0.025,4.5e-07
0.03,4.14e-07
0.035,3.84e-07
0.04,3.54e-07
0.045,3.18e-07
0.05,2.91e-07
0.055,2.63e-07
0.06,2.38e-07
0.065,2.12e-07
0.07,1.89e-07
0.075,1.7e-07
0.08,1.55e-07
0.085,1.36e-07
0.09,1.17e-07
0.095,1.04e-07
0.1,8.45e-08
0.105,7.76e-08
0.11,6.55e-08
0.115,5.89e-08
0.12,5.14e-08
0.125,4.75e-08
0.13,3.4e-08
0.135,3.07e-08
0.14,2.89e-08
0.145,2.74e-08
0.15,2.21e-08
0.155,2.08e-08
0.16,1.62e-08
0.165,1.37e-08
0.17,1.31e-08
0.175,9.8e-09
0.18,1.06e-08
0.185,7.1e-09
0.19,8.2e-09
0.195,5.3e-09
0.2,6.8e-09
0.205,5.5e-09
0.21,4.8e-09
0.215,5.1e-09
0.22,2.8e-09
0.225,2.2e-09
0.23,4e-09
0.235,2.2e-09
0.24,5.1e-09
0.245,2.5e-09
0.25,3.2e-09
0.255,4.3e-09
0.26,3e-09
0.265,-2e-10
0.27,1.5e-09
0.275,1.2e-09
0.28,-1e-10
0.285,3e-09
0.29,2.2e-09
0.295,2.1e-09
0.3,1.3e-09
0.305,2e-09
0.31,-1e-09
0.315,1.3e-09
0.32,1.9e-09
0.325,1.3e-09
0.33,2.3e-09
0.335,1.5e-09
0.34,5e-10
0.345,6e-10
0.35,1.9e-09
0.355,-1.7e-09
0.36,2.3e-09
0.365,8e-10
0.37,-4e-10
0.375,-8e-10
0.38,1e-10
0.385,4.7e-09
0.39,1.7e-09
0.395,8e-10
0.4,1.2e-09
0.405,-1.3e-09
0.41,6e-10
0.415,2.6e-09
0.42,3e-10
0.425,6e-10
0.43,1.3e-09
0.435,-1e-09
0.44,-7e-10
0.445,2.9e-09
0.45,8e-10
0.455,-7e-10
0.46,-1e-10
0.465,-3e-10
0.47,1.3e-09
0.475,-2e-10
0.48,1.4e-09
0.485,2.2e-09
0.49,-1.6e-09
0.495,1.6e-09
0.5,-3e-10
