V_G, I_channel
4.3,-1.339e-05
4.3175,-1.339e-05
4.3325,-1.339e-05
4.35,-1.339e-05
4.3675,-1.34e-05
4.3825,-1.339e-05
4.4,-1.339e-05
4.4175,-1.338e-05
4.4325,-1.339e-05
4.45,-1.339e-05
4.4675,-1.339e-05
4.4825,-1.34e-05
4.5,-1.339e-05
4.5175,-1.34e-05
4.5325,-1.339e-05
4.55,-1.339e-05
4.5675,-1.339e-05
4.5825,-1.339e-05
4.6,-1.34e-05
4.6175,-1.339e-05
4.6325,-1.339e-05
4.65,-1.339e-05
4.6675,-1.34e-05
4.6825,-1.339e-05
4.7,-1.339e-05
4.7175,-1.339e-05
4.7325,-1.339e-05
4.75,-1.339e-05
4.7675,-1.339e-05
4.7825,-1.34e-05
4.8,-1.339e-05
4.8175,-1.339e-05
4.8325,-1.339e-05
4.85,-1.34e-05
4.8675,-1.339e-05
4.8825,-1.34e-05
4.9,-1.339e-05
4.9175,-1.339e-05
4.9325,-1.339e-05
4.95,-1.339e-05
