V1, Vout
0.0,0.001
0.025,0.001
0.05,0.001
0.075,0.001
0.1,0.001
0.125,0.001
0.15,0.001
0.175,0.001
0.2,0.001
0.225,0.001
0.25,0.001
0.275,0.001
0.3,0.001
0.325,0.001
0.35,0.001
0.375,0.001
0.4,0.001
0.425,0.001
0.45,0.001
0.475,0.002
0.5,0.002
0.525,0.002
0.55,0.003
0.575,0.004
0.6,0.006
0.625,0.008
0.65,0.011
0.675,0.014
0.7,0.019
0.725,0.024
0.75,0.029
0.775,0.035
0.8,0.042
0.825,0.05
0.85,0.057
0.875,0.066
0.9,0.074
0.925,0.084
0.95,0.093
0.975,0.103
1.0,0.114
1.025,0.124
1.05,0.135
1.075,0.147
1.1,0.158
1.125,0.17
1.15,0.182
1.175,0.195
1.2,0.208
1.225,0.221
1.25,0.234
1.275,0.248
1.3,0.262
1.325,0.276
1.35,0.29
1.375,0.304
1.4,0.319
1.425,0.334
1.45,0.35
1.475,0.365
1.5,0.381
1.525,0.397
1.55,0.414
1.575,0.43
1.6,0.447
1.625,0.464
1.65,0.481
1.675,0.498
1.7,0.516
1.725,0.534
1.75,0.552
1.775,0.57
1.8,0.589
1.825,0.607
1.85,0.626
1.875,0.646
1.9,0.665
1.925,0.684
1.95,0.704
1.975,0.724
2.0,0.744
2.025,0.766
2.05,0.787
2.075,0.807
2.1,0.829
2.125,0.85
2.15,0.871
2.175,0.892
2.2,0.914
2.225,0.935
2.25,0.956
2.275,0.978
2.3,0.999
2.325,1.021
2.35,1.044
2.375,1.066
2.4,1.089
2.425,1.112
2.45,1.135
2.475,1.158
2.5,1.182
2.525,1.205
2.55,1.229
2.575,1.254
2.6,1.279
2.625,1.304
2.65,1.33
2.675,1.357
2.7,1.384
2.725,1.411
2.75,1.44
2.775,1.47
2.8,1.501
2.825,1.535
2.85,1.57
2.875,1.61
2.9,1.655
2.925,1.709
2.95,1.783
2.975,1.962
3.0,3.088
3.025,4.072
3.05,4.108
3.075,4.485
3.1,4.108
3.125,4.615
3.15,4.108
3.175,4.7
3.2,4.108
3.225,4.76
3.25,4.108
3.275,4.815
3.3,4.108
3.325,4.855
3.35,4.108
3.375,4.895
3.4,4.108
3.425,4.925
3.45,4.108
3.475,4.955
3.5,4.108
3.525,4.975
3.55,4.108
3.575,4.995
3.6,4.108
3.625,5.01
3.65,4.108
3.675,5.02
3.7,4.108
3.725,5.03
3.75,4.108
3.775,5.035
3.8,4.108
3.825,5.035
3.85,4.108
3.875,5.035
3.9,4.108
3.925,5.035
3.95,4.108
3.975,5.035
4.0,4.108
4.025,5.04
4.05,4.108
4.075,5.035
4.1,4.108
4.125,5.035
4.15,4.108
4.175,5.035
4.2,4.108
4.225,5.035
4.25,4.108
4.275,5.035
4.3,4.108
4.325,5.035
4.35,4.108
4.375,5.035
4.4,4.108
4.425,5.035
4.45,4.108
4.475,5.035
4.5,4.108
4.525,5.035
4.55,4.108
4.575,5.035
4.6,4.108
4.625,5.035
4.65,4.108
4.675,5.035
4.7,4.108
4.725,5.035
4.75,4.108
4.775,5.035
4.8,4.108
4.825,5.035
4.85,4.108
4.875,5.035
4.9,4.108
4.925,5.04
4.95,4.108
4.975,5.035
5.0,4.108
