V1, Vout
0.0,0.001
0.025,0.001
0.05,0.001
0.075,0.001
0.1,0.001
0.125,0.001
0.15,0.001
0.175,0.002
0.2,0.001
0.225,0.001
0.25,0.001
0.275,0.001
0.3,0.001
0.325,0.001
0.35,0.001
0.375,0.002
0.4,0.002
0.425,0.002
0.45,0.002
0.475,0.003
0.5,0.005
0.525,0.007
0.55,0.011
0.575,0.016
0.6,0.022
0.625,0.03
0.65,0.04
0.675,0.051
0.7,0.063
0.725,0.077
0.75,0.091
0.775,0.106
0.8,0.122
0.825,0.139
0.85,0.156
0.875,0.173
0.9,0.191
0.925,0.209
0.95,0.227
0.975,0.245
1.0,0.263
1.025,0.281
1.05,0.299
1.075,0.317
1.1,0.335
1.125,0.354
1.15,0.371
1.175,0.39
1.2,0.408
1.225,0.427
1.25,0.445
1.275,0.464
1.3,0.482
1.325,0.501
1.35,0.519
1.375,0.538
1.4,0.556
1.425,0.575
1.45,0.594
1.475,0.613
1.5,0.631
1.525,0.65
1.55,0.67
1.575,0.689
1.6,0.708
1.625,0.727
1.65,0.745
1.675,0.765
1.7,0.784
1.725,0.803
1.75,0.822
1.775,0.841
1.8,0.86
1.825,0.879
1.85,0.899
1.875,0.918
1.9,0.937
1.925,0.956
1.95,0.976
1.975,0.995
2.0,1.014
2.025,1.036
2.05,1.055
2.075,1.075
2.1,1.095
2.125,1.115
2.15,1.134
2.175,1.154
2.2,1.174
2.225,1.193
2.25,1.213
2.275,1.232
2.3,1.252
2.325,1.272
2.35,1.292
2.375,1.312
2.4,1.332
2.425,1.352
2.45,1.372
2.475,1.391
2.5,1.411
2.525,1.431
2.55,1.451
2.575,1.471
2.6,1.491
2.625,1.511
2.65,1.531
2.675,1.551
2.7,1.572
2.725,1.591
2.75,1.611
2.775,1.631
2.8,1.651
2.825,1.671
2.85,1.691
2.875,1.712
2.9,1.732
2.925,1.752
2.95,1.772
2.975,1.793
3.0,1.813
3.025,1.833
3.05,1.853
3.075,1.874
3.1,1.894
3.125,1.915
3.15,1.935
3.175,1.956
3.2,1.977
3.225,1.996
3.25,2.022
3.275,2.044
3.3,2.062
3.325,2.084
3.35,2.104
3.375,2.124
3.4,2.146
3.425,2.166
3.45,2.188
3.475,2.208
3.5,2.228
3.525,2.25
3.55,2.27
3.575,2.29
3.6,2.312
3.625,2.334
3.65,2.354
3.675,2.376
3.7,2.396
3.725,2.418
3.75,2.44
3.775,2.462
3.8,2.484
3.825,2.506
3.85,2.528
3.875,2.552
3.9,2.578
3.925,2.606
3.95,2.64
3.975,2.694
4.0,4.855
4.025,4.108
4.05,5.005
4.075,4.108
4.1,5.025
4.125,4.108
4.15,5.035
4.175,4.108
4.2,5.035
4.225,4.108
4.25,5.035
4.275,4.108
4.3,5.035
4.325,4.108
4.35,5.035
4.375,4.108
4.4,5.035
4.425,4.108
4.45,5.035
4.475,4.108
4.5,5.035
4.525,4.108
4.55,5.035
4.575,4.108
4.6,5.035
4.625,4.108
4.65,5.035
4.675,4.108
4.7,5.035
4.725,4.108
4.75,5.035
4.775,4.108
4.8,5.035
4.825,4.108
4.85,5.035
4.875,4.108
4.9,5.035
4.925,4.108
4.95,5.035
4.975,4.108
5.0,5.035
