V1, Vout
0.0,0.001
0.025,0.001
0.05,0.001
0.075,0.001
0.1,0.001
0.125,0.001
0.15,0.001
0.175,0.001
0.2,0.001
0.225,0.001
0.25,0.001
0.275,0.001
0.3,0.001
0.325,0.001
0.35,0.001
0.375,0.001
0.4,0.001
0.425,0.001
0.45,0.001
0.475,0.002
0.5,0.002
0.525,0.002
0.55,0.003
0.575,0.004
0.6,0.006
0.625,0.007
0.65,0.01
0.675,0.014
0.7,0.018
0.725,0.022
0.75,0.028
0.775,0.034
0.8,0.04
0.825,0.047
0.85,0.055
0.875,0.063
0.9,0.071
0.925,0.08
0.95,0.089
0.975,0.099
1.0,0.109
1.025,0.119
1.05,0.13
1.075,0.141
1.1,0.152
1.125,0.163
1.15,0.174
1.175,0.186
1.2,0.199
1.225,0.211
1.25,0.224
1.275,0.237
1.3,0.25
1.325,0.264
1.35,0.277
1.375,0.291
1.4,0.305
1.425,0.319
1.45,0.334
1.475,0.349
1.5,0.364
1.525,0.379
1.55,0.395
1.575,0.411
1.6,0.427
1.625,0.443
1.65,0.459
1.675,0.476
1.7,0.493
1.725,0.51
1.75,0.527
1.775,0.544
1.8,0.562
1.825,0.58
1.85,0.597
1.875,0.616
1.9,0.634
1.925,0.653
1.95,0.671
1.975,0.69
2.0,0.709
2.025,0.73
2.05,0.749
2.075,0.769
2.1,0.789
2.125,0.809
2.15,0.829
2.175,0.849
2.2,0.868
2.225,0.888
2.25,0.908
2.275,0.927
2.3,0.947
2.325,0.967
2.35,0.988
2.375,1.008
2.4,1.028
2.425,1.049
2.45,1.069
2.475,1.089
2.5,1.109
2.525,1.13
2.55,1.15
2.575,1.171
2.6,1.192
2.625,1.212
2.65,1.233
2.675,1.254
2.7,1.275
2.725,1.295
2.75,1.316
2.775,1.336
2.8,1.357
2.825,1.378
2.85,1.399
2.875,1.421
2.9,1.442
2.925,1.463
2.95,1.484
2.975,1.506
3.0,1.527
3.025,1.549
3.05,1.571
3.075,1.593
3.1,1.615
3.125,1.637
3.15,1.659
3.175,1.682
3.2,1.704
3.225,1.726
3.25,1.748
3.275,1.77
3.3,1.793
3.325,1.815
3.35,1.838
3.375,1.861
3.4,1.885
3.425,1.908
3.45,1.932
3.475,1.956
3.5,1.979
3.525,2.01
3.55,2.034
3.575,2.06
3.6,2.084
3.625,2.11
3.65,2.138
3.675,2.166
3.7,2.192
3.725,2.222
3.75,2.252
3.775,2.282
3.8,2.314
3.825,2.348
3.85,2.384
3.875,2.426
3.9,2.472
3.925,2.528
3.95,2.604
3.975,2.778
4.0,3.666
4.025,4.108
4.05,4.46
4.075,4.108
4.1,4.595
4.125,4.108
4.15,4.685
4.175,4.108
4.2,4.75
4.225,4.108
4.25,4.805
4.275,4.108
4.3,4.845
4.325,4.108
4.35,4.885
4.375,4.108
4.4,4.915
4.425,4.108
4.45,4.94
4.475,4.108
4.5,4.96
4.525,4.108
4.55,4.98
4.575,4.108
4.6,4.995
4.625,4.108
4.65,5.005
4.675,4.108
4.7,5.015
4.725,4.108
4.75,5.02
4.775,4.108
4.8,5.025
4.825,4.108
4.85,5.03
4.875,4.108
4.9,5.03
4.925,4.108
4.95,5.035
4.975,4.108
5.0,5.035
