I_in, I_out1,,Input Current,Output Current,Output Current
0.00231,-0.00223,,0.00231,2.23E-03,2.23E-03
0.002335,-0.00225,,0.002335,2.25E-03,2.25E-03
0.002355,-0.00227,,0.002355,2.27E-03,2.27E-03
0.00238,-0.0023,,0.00238,2.30E-03,2.30E-03
0.002405,-0.00232,,0.002405,2.32E-03,2.32E-03
0.00243,-0.00235,,0.00243,2.35E-03,2.35E-03
0.00245,-0.00237,,0.00245,2.37E-03,2.37E-03
0.002475,-0.00239,,0.002475,2.39E-03,2.39E-03
0.0025,-0.00242,,0.0025,2.42E-03,2.42E-03
0.00252,-0.00244,,0.00252,2.44E-03,2.44E-03
0.002545,-0.00246,,0.002545,2.46E-03,2.46E-03
0.00257,-0.00249,,0.00257,2.49E-03,2.49E-03
0.002595,-0.00251,,0.002595,2.51E-03,2.51E-03
0.002615,-0.00253,,0.002615,2.53E-03,2.53E-03
0.00264,-0.00256,,0.00264,2.56E-03,2.56E-03
0.002665,-0.00258,,0.002665,2.58E-03,2.58E-03
0.002685,-0.0026,,0.002685,2.60E-03,2.60E-03
0.00271,-0.00263,,0.00271,2.63E-03,2.63E-03
0.002735,-0.00265,,0.002735,2.65E-03,2.65E-03
0.00276,-0.00267,,0.00276,2.67E-03,2.67E-03
0.00278,-0.0027,,0.00278,2.70E-03,2.70E-03
0.002805,-0.00272,,0.002805,2.72E-03,2.72E-03
0.00283,-0.00274,,0.00283,2.74E-03,2.74E-03
0.00285,-0.00276,,0.00285,2.76E-03,2.76E-03
0.002875,-0.00279,,0.002875,2.79E-03,2.79E-03
0.0029,-0.00281,,0.0029,2.81E-03,2.81E-03
0.002925,-0.00284,,0.002925,2.84E-03,2.84E-03
0.002945,-0.00286,,0.002945,2.86E-03,2.86E-03
0.00297,-0.00288,,0.00297,2.88E-03,2.88E-03
0.002995,-0.00291,,0.002995,2.91E-03,2.91E-03
0.003015,-0.00293,,0.003015,2.93E-03,2.93E-03
0.00304,-0.00295,,0.00304,2.95E-03,2.95E-03
0.003065,-0.00298,,0.003065,2.98E-03,2.98E-03
0.00309,-0.003,,0.00309,3.00E-03,3.00E-03
0.00311,-0.00302,,0.00311,3.02E-03,3.02E-03
0.003135,-0.00305,,0.003135,3.05E-03,3.05E-03
0.00316,-0.00307,,0.00316,3.07E-03,3.07E-03
0.00318,-0.00309,,0.00318,3.09E-03,3.09E-03
0.003205,-0.00311,,0.003205,3.11E-03,3.11E-03
0.00323,-0.00314,,0.00323,3.14E-03,3.14E-03
0.003255,-0.00316,,0.003255,3.16E-03,3.16E-03
0.003275,-0.00318,,0.003275,3.18E-03,3.18E-03
0.0033,-0.00321,,0.0033,3.21E-03,3.21E-03
0.003325,-0.00323,,0.003325,3.23E-03,3.23E-03
0.003345,-0.00325,,0.003345,3.25E-03,3.25E-03
0.00337,-0.00328,,0.00337,3.28E-03,3.28E-03
0.003395,-0.0033,,0.003395,3.30E-03,3.30E-03
0.00342,-0.00333,,0.00342,3.33E-03,3.33E-03
0.00344,-0.00335,,0.00344,3.35E-03,3.35E-03
0.003465,-0.00337,,0.003465,3.37E-03,3.37E-03
0.00349,-0.0034,,0.00349,3.40E-03,3.40E-03
0.00351,-0.00342,,0.00351,3.42E-03,3.42E-03
0.003535,-0.00344,,0.003535,3.44E-03,3.44E-03
0.00356,-0.00347,,0.00356,3.47E-03,3.47E-03
0.003585,-0.00349,,0.003585,3.49E-03,3.49E-03
0.003605,-0.00351,,0.003605,3.51E-03,3.51E-03
0.00363,-0.00354,,0.00363,3.54E-03,3.54E-03
0.003655,-0.00356,,0.003655,3.56E-03,3.56E-03
0.003675,-0.00358,,0.003675,3.58E-03,3.58E-03
0.0037,-0.00361,,0.0037,3.61E-03,3.61E-03
0.003725,-0.00363,,0.003725,3.63E-03,3.63E-03
0.00375,-0.00366,,0.00375,3.66E-03,3.66E-03
0.00377,-0.00368,,0.00377,3.68E-03,3.68E-03
0.003795,-0.0037,,0.003795,3.70E-03,3.70E-03
0.00382,-0.00373,,0.00382,3.73E-03,3.73E-03
0.00384,-0.00375,,0.00384,3.75E-03,3.75E-03
0.003865,-0.00377,,0.003865,3.77E-03,3.77E-03
0.00389,-0.0038,,0.00389,3.80E-03,3.80E-03
0.003915,-0.00382,,0.003915,3.82E-03,3.82E-03
0.003935,-0.00384,,0.003935,3.84E-03,3.84E-03
0.00396,-0.00387,,0.00396,3.87E-03,3.87E-03
0.003985,-0.00389,,0.003985,3.89E-03,3.89E-03
0.004005,-0.00391,,0.004005,3.91E-03,3.91E-03
0.00403,-0.00394,,0.00403,3.94E-03,3.94E-03
0.004055,-0.00396,,0.004055,3.96E-03,3.96E-03
0.00408,-0.00398,,0.00408,3.98E-03,3.98E-03
0.0041,-0.00401,,0.0041,4.01E-03,4.01E-03
0.004125,-0.00403,,0.004125,4.03E-03,4.03E-03
0.00415,-0.00405,,0.00415,4.05E-03,4.05E-03
0.00417,-0.00407,,0.00417,4.07E-03,4.07E-03
0.004195,-0.0041,,0.004195,4.10E-03,4.10E-03
