I_in, I_out1,,Flipped, I_out1
-0.003205,0.001072,,0.003205,0.001072
-0.00323,0.00108,,0.00323,0.00108
-0.003255,0.001088,,0.003255,0.001088
-0.003275,0.001095,,0.003275,0.001095
-0.0033,0.001103,,0.0033,0.001103
-0.003325,0.001112,,0.003325,0.001112
-0.003345,0.001118,,0.003345,0.001118
-0.00337,0.001127,,0.00337,0.001127
-0.003395,0.001135,,0.003395,0.001135
-0.00342,0.001144,,0.00342,0.001144
-0.00344,0.00115,,0.00344,0.00115
-0.003465,0.001159,,0.003465,0.001159
-0.00349,0.001167,,0.00349,0.001167
-0.00351,0.001174,,0.00351,0.001174
-0.003535,0.001182,,0.003535,0.001182
-0.00356,0.001191,,0.00356,0.001191
-0.003585,0.001199,,0.003585,0.001199
-0.003605,0.001206,,0.003605,0.001206
-0.00363,0.001214,,0.00363,0.001214
-0.003655,0.001223,,0.003655,0.001223
-0.003675,0.001229,,0.003675,0.001229
-0.0037,0.001238,,0.0037,0.001238
-0.003725,0.001246,,0.003725,0.001246
-0.00375,0.001255,,0.00375,0.001255
-0.00377,0.001261,,0.00377,0.001261
-0.003795,0.00127,,0.003795,0.00127
-0.00382,0.001278,,0.00382,0.001278
-0.00384,0.001285,,0.00384,0.001285
-0.003865,0.001294,,0.003865,0.001294
-0.00389,0.001302,,0.00389,0.001302
-0.003915,0.00131,,0.003915,0.00131
-0.003935,0.001317,,0.003935,0.001317
-0.00396,0.001326,,0.00396,0.001326
-0.003985,0.001334,,0.003985,0.001334
-0.004005,0.001341,,0.004005,0.001341
-0.00403,0.00135,,0.00403,0.00135
-0.004055,0.001358,,0.004055,0.001358
-0.00408,0.001366,,0.00408,0.001366
-0.0041,0.001373,,0.0041,0.001373
-0.004125,0.001382,,0.004125,0.001382
-0.00415,0.001391,,0.00415,0.001391
-0.00417,0.001397,,0.00417,0.001397
-0.004195,0.001406,,0.004195,0.001406
-0.00422,0.001414,,0.00422,0.001414
-0.004245,0.001423,,0.004245,0.001423
-0.004265,0.00143,,0.004265,0.00143
-0.00429,0.001438,,0.00429,0.001438
-0.004315,0.001447,,0.004315,0.001447
-0.004335,0.001453,,0.004335,0.001453
-0.00436,0.001462,,0.00436,0.001462
-0.004385,0.001471,,0.004385,0.001471
-0.00441,0.001479,,0.00441,0.001479
-0.00443,0.001486,,0.00443,0.001486
-0.004455,0.001494,,0.004455,0.001494
-0.00448,0.001503,,0.00448,0.001503
