"I","V"
2.8e-09,0.1
2.7e-09,0.102329299228
2.2e-09,0.104712854805
2.2e-09,0.107151930524
2.1e-09,0.109647819614
1.7e-09,0.11220184543
1.7e-09,0.11481536215
2.1e-09,0.117489755494
1.9e-09,0.120226443462
1.5e-09,0.123026877081
2.1e-09,0.125892541179
2e-09,0.128824955169
1.8e-09,0.131825673856
1.5e-09,0.134896288259
1.5e-09,0.13803842646
1.9e-09,0.141253754462
2.1e-09,0.144543977075
1.8e-09,0.147910838817
2e-09,0.151356124844
2e-09,0.154881661891
2e-09,0.158489319246
2.4e-09,0.162181009736
2e-09,0.165958690744
2.3e-09,0.169824365246
3e-09,0.173780082875
2.6e-09,0.177827941004
2.6e-09,0.181970085861
2.4e-09,0.186208713666
3e-09,0.190546071796
2.9e-09,0.194984459976
3.1e-09,0.199526231497
3.5e-09,0.204173794467
3.8e-09,0.208929613085
3.8e-09,0.21379620895
4.2e-09,0.218776162395
3.9e-09,0.223872113857
4.1e-09,0.229086765277
4.4e-09,0.234422881532
4.6e-09,0.239883291902
4.2e-09,0.245470891569
4.9e-09,0.251188643151
5.1e-09,0.257039578277
5.1e-09,0.26302679919
5.5e-09,0.269153480393
5.3e-09,0.275422870334
5.5e-09,0.281838293126
6.2e-09,0.288403150313
6.3e-09,0.295120922667
6.5e-09,0.30199517204
7e-09,0.309029543251
7.9e-09,0.316227766017
8.8e-09,0.32359365693
9.4e-09,0.331131121483
1.14e-08,0.338844156139
1.3e-08,0.346736850453
1.53e-08,0.354813389234
1.85e-08,0.36307805477
2.33e-08,0.371535229097
2.89e-08,0.380189396321
3.92e-08,0.389045144994
5.22e-08,0.398107170553
7.24e-08,0.407380277804
1.004e-07,0.41686938347
1.41e-07,0.426579518802
2.08e-07,0.43651583224
3.02e-07,0.446683592151
4.49e-07,0.457088189615
6.69e-07,0.467735141287
1.02e-06,0.478630092323
1.583e-06,0.489778819368
2.5e-06,0.501187233627
3.95e-06,0.512861383991
6.26e-06,0.52480746025
9.89e-06,0.53703179637
1.582e-05,0.549540873858
2.67e-05,0.56234132519
4.29e-05,0.575439937337
6.89e-05,0.588843655356
0.0001097,0.602559586074
0.0001754,0.616595001861
0.000291,0.63095734448
0.000464,0.645654229035
0.000745,0.660693448008
0.001197,0.676082975392
0.001913,0.691830970919
0.00312,0.707945784384
0.0048,0.724435960075
0.00734,0.741310241301
0.01094,0.758577575029
0.01615,0.776247116629
0.02062,0.794328234724
0.02062,0.812830516164
0.02062,0.831763771103
0.02062,0.851138038202
0.02062,0.870963589956
0.02062,0.891250938134
0.02062,0.912010839356
0.02062,0.933254300797
0.02062,0.954992586021
0.02062,0.977237220956
0.02062,1.0
