Vout, Iout
2.137,-5.49e-07
2.145,-5.45e-07
2.154,-5.44e-07
2.162,-5.44e-07
2.17,-5.4e-07
2.179,-5.37e-07
2.187,-5.37e-07
2.195,-5.36e-07
2.204,-5.35e-07
2.212,-5.33e-07
2.22,-5.28e-07
2.229,-5.28e-07
2.237,-5.24e-07
2.245,-5.23e-07
2.254,-5.23e-07
2.262,-5.21e-07
2.27,-5.17e-07
2.279,-5.15e-07
2.287,-5.14e-07
2.295,-5.13e-07
2.304,-5.09e-07
2.312,-5.07e-07
2.321,-5.09e-07
2.329,-5.04e-07
2.337,-5.01e-07
2.346,-5.01e-07
2.354,-4.97e-07
2.362,-4.96e-07
2.371,-4.94e-07
2.379,-4.92e-07
2.387,-4.93e-07
2.396,-4.89e-07
2.404,-4.87e-07
2.412,-4.88e-07
2.421,-4.85e-07
2.429,-4.84e-07
2.437,-4.8e-07
2.446,-4.79e-07
2.454,-4.76e-07
2.462,-4.74e-07
2.471,-4.72e-07
2.479,-4.71e-07
2.487,-4.69e-07
2.496,-4.63e-07
2.504,-4.63e-07
2.513,-4.62e-07
2.521,-4.58e-07
2.529,-4.59e-07
2.538,-4.58e-07
2.546,-4.53e-07
2.554,-4.5e-07
2.563,-4.5e-07
2.571,-4.49e-07
2.579,-4.44e-07
2.588,-4.45e-07
2.596,-4.43e-07
2.604,-4.43e-07
2.613,-4.39e-07
2.621,-4.39e-07
2.629,-4.35e-07
2.638,-4.28e-07
2.646,-4.33e-07
2.654,-4.28e-07
2.663,-4.25e-07
2.671,-4.24e-07
2.679,-4.22e-07
2.688,-4.22e-07
2.696,-4.16e-07
2.705,-4.15e-07
2.713,-4.14e-07
2.721,-4.14e-07
2.73,-4.08e-07
2.738,-4.09e-07
2.746,-4.07e-07
2.755,-3.99e-07
2.763,-4.03e-07
2.771,-4.01e-07
2.78,-3.98e-07
2.788,-3.97e-07
2.796,-3.98e-07
2.805,-3.92e-07
2.813,-3.91e-07
2.821,-3.87e-07
2.83,-3.87e-07
2.838,-3.83e-07
2.846,-3.82e-07
2.855,-3.8e-07
2.863,-3.81e-07
2.871,-3.78e-07
2.88,-3.73e-07
2.888,-3.73e-07
2.896,-3.71e-07
2.905,-3.68e-07
2.913,-3.66e-07
2.922,-3.66e-07
2.93,-3.66e-07
2.938,-3.61e-07
2.947,-3.6e-07
2.955,-3.61e-07
2.963,-3.57e-07
2.972,-3.52e-07
2.98,-3.54e-07
2.988,-3.47e-07
2.997,-2.054e-07
3.005,-2.054e-07
3.013,-2.054e-07
3.022,-2.054e-07
3.03,-2.054e-07
3.038,-2.054e-07
3.047,-2.054e-07
3.055,-2.054e-07
3.063,-2.054e-07
3.072,-2.054e-07
3.08,-2.054e-07
3.088,-2.054e-07
3.097,-2.054e-07
3.105,-2.054e-07
3.114,-2.054e-07
3.122,-2.054e-07
3.13,-2.054e-07
3.139,-2.054e-07
3.147,-2.054e-07
3.155,-2.054e-07
3.164,-2.054e-07
3.172,-2.054e-07
3.18,-2.054e-07
3.189,-2.054e-07
3.197,-2.054e-07
3.205,-2.054e-07
3.214,-2.054e-07
3.222,-2.054e-07
3.23,-2.054e-07
3.239,-2.054e-07
3.247,-2.054e-07
3.255,-2.054e-07
3.264,-2.054e-07
3.272,-2.054e-07
3.28,-2.054e-07
3.289,-2.054e-07
3.297,-2.054e-07
3.306,-2.054e-07
3.314,-2.054e-07
