Vdm, Iout
0.5565,-7.13e-06
0.5665,-7.14e-06
0.5765,-7.13e-06
0.5865,-7.14e-06
0.5965,-7.14e-06
0.6065,-7.14e-06
0.6165,-7.14e-06
0.6265,-7.14e-06
0.6365,-7.14e-06
0.6465,-7.15e-06
0.6565,-7.15e-06
0.6665,-7.15e-06
0.6765,-7.15e-06
0.6865,-7.15e-06
0.6965,-7.15e-06
0.707,-7.15e-06
0.717,-7.16e-06
0.727,-7.15e-06
0.737,-7.15e-06
0.747,-7.16e-06
0.757,-7.16e-06
0.767,-7.16e-06
0.777,-7.16e-06
0.787,-7.16e-06
0.797,-7.16e-06
0.807,-7.16e-06
0.817,-7.16e-06
0.827,-7.16e-06
0.837,-7.16e-06
0.847,-7.17e-06
0.857,-7.16e-06
0.867,-7.17e-06
0.877,-7.17e-06
0.887,-7.17e-06
0.897,-7.17e-06
0.9075,-7.17e-06
0.9175,-7.18e-06
0.9275,-7.17e-06
0.9375,-7.17e-06
0.9475,-7.17e-06
0.9575,-7.18e-06
0.9675,-7.18e-06
0.9775,-7.18e-06
0.9875,-7.18e-06
0.9975,-7.18e-06
1.0075,-7.19e-06
1.0175,-7.19e-06
1.0275,-7.19e-06
1.0375,-7.19e-06
1.0475,-7.19e-06
1.0575,-7.19e-06
1.0675,-7.19e-06
1.0775,-7.2e-06
1.0875,-7.19e-06
1.0975,-7.19e-06
1.108,-7.19e-06
1.118,-7.2e-06
1.128,-7.2e-06
1.138,-7.2e-06
1.148,-7.19e-06
1.158,-7.2e-06
1.168,-7.2e-06
1.178,-7.2e-06
1.188,-7.2e-06
1.198,-7.2e-06
1.208,-7.2e-06
1.218,-7.21e-06
1.228,-7.2e-06
1.238,-7.21e-06
1.248,-7.21e-06
1.258,-7.21e-06
1.268,-7.21e-06
1.278,-7.21e-06
1.288,-7.22e-06
1.298,-7.21e-06
1.3085,-7.22e-06
1.3185,-7.22e-06
1.3285,-7.22e-06
1.3385,-7.21e-06
1.3485,-7.22e-06
1.3585,-7.22e-06
1.3685,-7.22e-06
1.3785,-7.22e-06
1.3885,-7.22e-06
1.3985,-7.22e-06
1.4085,-7.23e-06
1.4185,-7.22e-06
1.4285,-7.23e-06
1.4385,-7.23e-06
1.4485,-7.23e-06
1.4585,-7.23e-06
1.4685,-7.23e-06
1.4785,-7.24e-06
1.4885,-7.23e-06
1.4985,-7.23e-06
1.509,-7.23e-06
1.519,-7.24e-06
1.529,-7.24e-06
1.539,-7.24e-06
1.549,-7.24e-06
1.559,-7.24e-06
1.569,-7.24e-06
1.579,-7.24e-06
1.589,-7.24e-06
1.599,-7.24e-06
1.609,-7.25e-06
1.619,-7.24e-06
1.629,-7.25e-06
1.639,-7.24e-06
1.649,-7.24e-06
1.659,-7.25e-06
1.669,-7.25e-06
1.679,-7.25e-06
1.689,-7.25e-06
1.699,-7.25e-06
1.7095,-7.25e-06
1.7195,-7.25e-06
1.7295,-7.26e-06
1.7395,-7.26e-06
1.7495,-7.25e-06
1.7595,-7.25e-06
1.7695,-7.26e-06
1.7795,-7.25e-06
1.7895,-7.26e-06
1.7995,-7.26e-06
1.8095,-7.26e-06
1.8195,-7.27e-06
1.8295,-7.26e-06
1.8395,-7.27e-06
1.8495,-7.26e-06
1.8595,-7.26e-06
1.8695,-7.27e-06
1.8795,-7.27e-06
1.8895,-7.27e-06
1.8995,-7.27e-06
1.91,-7.27e-06
1.92,-7.27e-06
1.93,-7.27e-06
1.94,-7.28e-06
1.95,-7.28e-06
1.96,-7.28e-06
1.97,-7.28e-06
1.98,-7.27e-06
1.99,-7.28e-06
2.0,-7.28e-06
