"Vb","Ve"
0.0,5.025
0.05,4.116
0.1,5.025
0.15,4.116
0.2,5.025
0.25,4.116
0.3,5.025
0.35,4.116
0.4,5.025
0.45,4.116
0.5,4.975
0.55,4.9
0.6,4.116
0.65,4.675
0.7,4.116
0.75,4.116
0.8,4.116
0.85,4.116
0.9,4.028
0.95,3.91
1.0,3.778
1.05,3.64
1.1,3.502
1.15,3.364
1.2,3.224
1.25,3.086
1.3,2.946
1.35,2.79
1.4,2.658
1.45,2.522
1.5,2.382
1.55,2.24
1.6,2.102
1.65,1.962
1.7,1.828
1.75,1.692
1.8,1.541
1.85,1.42
1.9,1.358
1.95,1.379
2.0,1.413
2.05,1.453
2.1,1.495
2.15,1.539
2.2,1.584
2.25,1.629
2.3,1.675
2.35,1.721
2.4,1.767
2.45,1.813
2.5,1.86
2.55,1.907
2.6,1.954
2.65,2.0
2.7,2.06
2.75,2.106
2.8,2.156
2.85,2.204
2.9,2.25
2.95,2.298
3.0,2.348
3.05,2.398
3.1,2.448
3.15,2.496
3.2,2.544
3.25,2.594
3.3,2.64
3.35,2.688
3.4,2.736
3.45,2.784
3.5,2.832
3.55,2.882
3.6,2.932
3.65,2.98
3.7,3.028
3.75,3.076
3.8,3.126
3.85,3.174
3.9,3.222
3.95,3.268
4.0,3.316
4.05,3.368
4.1,3.418
4.15,3.466
4.2,3.516
4.25,3.564
4.3,3.612
4.35,3.66
4.4,3.708
4.45,3.758
4.5,3.806
4.55,3.854
4.6,3.904
4.65,3.952
4.7,4.0
4.75,4.048
4.8,4.096
4.85,4.116
4.9,4.116
4.95,4.116
5.0,4.116
