V_DS, I_channel
-5.0,-3.01e-05
-4.9675,-2.92e-05
-4.9325,-2.84e-05
-4.9,-2.77e-05
-4.8675,-2.71e-05
-4.8325,-2.63e-05
-4.8,-2.57e-05
-4.7675,-2.51e-05
-4.7325,-2.45e-05
-4.7,-2.39e-05
-4.6675,-2.34e-05
-4.6325,-2.28e-05
-4.6,-2.23e-05
-4.5675,-2.18e-05
-4.5325,-2.13e-05
-4.5,-2.08e-05
-4.4675,-2.04e-05
-4.4325,-1.99e-05
-4.4,-1.95e-05
-4.3675,-1.91e-05
-4.3325,-1.86e-05
-4.3,-1.82e-05
-4.2675,-1.78e-05
-4.2325,-1.74e-05
-4.2,-1.71e-05
-4.1675,-1.67e-05
-4.1325,-1.63e-05
-4.1,-1.6e-05
-4.0675,-1.56e-05
-4.0325,-1.53e-05
-4.0,-1.48e-05
-3.967,-1.45e-05
-3.933,-1.41e-05
-3.9,-1.39e-05
-3.867,-1.36e-05
-3.833,-1.33e-05
-3.8,-1.3e-05
-3.767,-1.28e-05
-3.733,-1.25e-05
-3.7,-1.22e-05
-3.667,-1.2e-05
-3.633,-1.17e-05
-3.6,-1.15e-05
-3.567,-1.12e-05
-3.533,-1.116e-05
-3.5,-1.093e-05
-3.467,-1.069e-05
-3.433,-1.047e-05
-3.4,-1.025e-05
-3.367,-1.004e-05
-3.333,-9.81e-06
-3.3,-9.61e-06
-3.267,-9.41e-06
-3.233,-9.2e-06
-3.2,-8.99e-06
-3.167,-8.81e-06
-3.133,-8.61e-06
-3.1,-8.43e-06
-3.067,-8.25e-06
-3.033,-8.05e-06
-3.0,-7.88e-06
-2.967,-7.71e-06
-2.933,-7.53e-06
-2.9,-7.37e-06
-2.867,-7.21e-06
-2.833,-7.04e-06
-2.8,-6.88e-06
-2.767,-6.73e-06
-2.733,-6.58e-06
-2.7,-6.43e-06
-2.667,-6.28e-06
-2.633,-6.14e-06
-2.6,-6e-06
-2.567,-5.86e-06
-2.533,-5.72e-06
-2.5,-5.59e-06
-2.467,-5.46e-06
-2.433,-5.33e-06
-2.4,-5.2e-06
-2.367,-5.07e-06
-2.333,-4.95e-06
-2.3,-4.83e-06
-2.267,-4.71e-06
-2.233,-4.59e-06
-2.2,-4.48e-06
-2.167,-4.36e-06
-2.133,-4.25e-06
-2.1,-4.14e-06
-2.067,-4.03e-06
-2.033,-3.93e-06
-2.0,-3.82e-06
-1.9665,-3.71e-06
-1.9335,-3.61e-06
-1.9,-3.52e-06
-1.8665,-3.42e-06
-1.8335,-3.32e-06
-1.8,-3.22e-06
-1.7665,-3.13e-06
-1.7335,-3.04e-06
-1.7,-2.94e-06
-1.6665,-2.85e-06
-1.6335,-2.76e-06
-1.6,-2.67e-06
-1.5665,-2.58e-06
-1.5335,-2.49e-06
-1.5,-2.4e-06
-1.4665,-2.31e-06
-1.4335,-2.23e-06
-1.4,-2.14e-06
-1.3665,-2.06e-06
-1.3335,-1.97e-06
-1.3,-1.89e-06
-1.2665,-1.81e-06
-1.2335,-1.73e-06
-1.2,-1.65e-06
-1.1665,-1.617e-06
-1.1335,-1.534e-06
-1.1,-1.452e-06
-1.0665,-1.372e-06
-1.0335,-1.292e-06
-1.0,-1.212e-06
-0.9665,-1.131e-06
-0.9335,-1.054e-06
-0.9,-9.72e-07
-0.8665,-8.95e-07
-0.8335,-8.15e-07
-0.8,-7.34e-07
-0.7665,-2.042e-07
-0.7335,-2.042e-07
-0.7,-2.042e-07
-0.6665,-2.042e-07
-0.6335,-2.042e-07
-0.6,-2.042e-07
-0.5665,-1.282e-07
-0.5335,-2.57e-08
-0.5,1.114e-07
-0.4665,2.039e-07
-0.4335,3.23e-07
-0.4,4.88e-07
-0.3665,7.02e-07
-0.3335,9.86e-07
-0.3,1.395e-06
-0.2665,2.02e-06
-0.2335,2.83e-06
-0.2,3.99e-06
-0.1665,5.58e-06
-0.1335,7.67e-06
-0.1,1.038e-05
-0.0665,1.377e-05
-0.0335,1.791e-05
0.0,2.34e-05
