V_DS, I_channel
-5.0,-3.27e-05
-4.9675,-3.18e-05
-4.9325,-3.12e-05
-4.9,-3.06e-05
-4.8675,-3e-05
-4.8325,-2.94e-05
-4.8,-2.89e-05
-4.7675,-2.85e-05
-4.7325,-2.79e-05
-4.7,-2.74e-05
-4.6675,-2.7e-05
-4.6325,-2.65e-05
-4.6,-2.6e-05
-4.5675,-2.56e-05
-4.5325,-2.52e-05
-4.5,-2.48e-05
-4.4675,-2.44e-05
-4.4325,-2.4e-05
-4.4,-2.36e-05
-4.3675,-2.32e-05
-4.3325,-2.28e-05
-4.3,-2.25e-05
-4.2675,-2.22e-05
-4.2325,-2.18e-05
-4.2,-2.15e-05
-4.1675,-2.12e-05
-4.1325,-2.09e-05
-4.1,-2.06e-05
-4.0675,-2.03e-05
-4.0325,-1.99e-05
-4.0,-1.95e-05
-3.967,-1.92e-05
-3.933,-1.89e-05
-3.9,-1.87e-05
-3.867,-1.84e-05
-3.833,-1.81e-05
-3.8,-1.79e-05
-3.767,-1.76e-05
-3.733,-1.74e-05
-3.7,-1.72e-05
-3.667,-1.69e-05
-3.633,-1.67e-05
-3.6,-1.65e-05
-3.567,-1.63e-05
-3.533,-1.6e-05
-3.5,-1.58e-05
-3.467,-1.56e-05
-3.433,-1.54e-05
-3.4,-1.52e-05
-3.367,-1.5e-05
-3.333,-1.48e-05
-3.3,-1.46e-05
-3.267,-1.44e-05
-3.233,-1.42e-05
-3.2,-1.4e-05
-3.167,-1.39e-05
-3.133,-1.37e-05
-3.1,-1.35e-05
-3.067,-1.33e-05
-3.033,-1.31e-05
-3.0,-1.3e-05
-2.967,-1.28e-05
-2.933,-1.27e-05
-2.9,-1.25e-05
-2.867,-1.24e-05
-2.833,-1.22e-05
-2.8,-1.21e-05
-2.767,-1.19e-05
-2.733,-1.18e-05
-2.7,-1.16e-05
-2.667,-1.15e-05
-2.633,-1.13e-05
-2.6,-1.12e-05
-2.567,-1.125e-05
-2.533,-1.112e-05
-2.5,-1.099e-05
-2.467,-1.087e-05
-2.433,-1.074e-05
-2.4,-1.062e-05
-2.367,-1.049e-05
-2.333,-1.037e-05
-2.3,-1.025e-05
-2.267,-1.014e-05
-2.233,-1.001e-05
-2.2,-9.91e-06
-2.167,-9.8e-06
-2.133,-9.68e-06
-2.1,-9.57e-06
-2.067,-9.46e-06
-2.033,-9.35e-06
-2.0,-9.25e-06
-1.9665,-9.14e-06
-1.9335,-9.04e-06
-1.9,-8.94e-06
-1.8665,-8.84e-06
-1.8335,-8.74e-06
-1.8,-8.64e-06
-1.7665,-8.54e-06
-1.7335,-8.44e-06
-1.7,-8.34e-06
-1.6665,-8.25e-06
-1.6335,-8.15e-06
-1.6,-8.05e-06
-1.5665,-7.95e-06
-1.5335,-7.85e-06
-1.5,-7.76e-06
-1.4665,-7.66e-06
-1.4335,-7.57e-06
-1.4,-7.47e-06
-1.3665,-7.38e-06
-1.3335,-7.28e-06
-1.3,-7.19e-06
-1.2665,-7.09e-06
-1.2335,-7e-06
-1.2,-6.9e-06
-1.1665,-6.8e-06
-1.1335,-6.71e-06
-1.1,-6.61e-06
-1.0665,-6.51e-06
-1.0335,-6.41e-06
-1.0,-6.31e-06
-0.9665,-6.2e-06
-0.9335,-6.1e-06
-0.9,-5.99e-06
-0.8665,-5.88e-06
-0.8335,-5.76e-06
-0.8,-5.64e-06
-0.7665,-5.52e-06
-0.7335,-5.39e-06
-0.7,-5.24e-06
-0.6665,-5.09e-06
-0.6335,-4.91e-06
-0.6,-4.7e-06
-0.5665,-4.44e-06
-0.5335,-4.1e-06
-0.5,-3.64e-06
-0.4665,-2.99e-06
-0.4335,-2.12e-06
-0.4,-9.31e-07
-0.3665,7.1e-07
-0.3335,2.061e-06
-0.3,5.7e-06
-0.2665,9.2e-06
-0.2335,1.339e-05
-0.2,1.841e-05
-0.1665,2.46e-05
-0.1335,3.13e-05
-0.1,3.91e-05
-0.0665,4.77e-05
-0.0335,5.75e-05
0.0,6.84e-05
